"Player","Team(s)","GP","Win%"
"LeBron James","Cavaliers",498,"65.7%"
"Zydrunas Ilgauskas","Cavaliers",399,"64.9%"
"Daniel Gibson","Cavaliers",338,"59.8%"
"Sasha Pavlovic","Cavaliers",286,"63.3%"
"Drew Gooden","Cavaliers",232,"58.6%"
"Eric Snow","Cavaliers",220,"57.3%"
"Mo Williams","Cavaliers",219,"68.0%"
"Delonte West","Cavaliers",180,"69.4%"
"J.J. Hickson","Cavaliers",176,"67.0%"
"Damon Jones","Cavaliers",168,"57.7%"
"Tristan Thompson","Cavaliers",166,"45.2%"
"Donyell Marshall","Cavaliers",159,"59.1%"
"Anthony Parker","Cavaliers",134,"59.0%"
"Kyrie Irving","Cavaliers",126,"43.7%"
"Larry Hughes","Cavaliers",126,"62.7%"
"Wally Szczerbiak","Cavaliers",122,"70.5%"
"Ira Newble","Cavaliers",117,"56.4%"
"Ben Wallace","Cavaliers",104,"70.2%"
"Alonzo Gee","Cavaliers",103,"35.0%"
"Dion Waiters","Cavaliers",102,"41.2%"
"Matt Dellavedova","Cavaliers",93,"50.5%"
"Jamario Moon","Cavaliers",91,"64.8%"
"Jawad Williams","Cavaliers",87,"60.9%"
"Antawn Jamison","Cavaliers",85,"42.4%"
"Darnell Jackson","Cavaliers",80,"85.0%"
"Tyler Zeller","Cavaliers",75,"32.0%"
"Joe Smith","Cavaliers",72,"65.3%"
"Shaquille O'Neal","Cavaliers",64,"71.9%"
"C.J. Miles","Cavaliers",64,"34.4%"
"Jarrett Jack","Cavaliers",63,"38.1%"
"Kevin Love","Cavaliers",59,"64.4%"
"Tarence Kinsey","Cavaliers",58,"82.8%"
"Ramon Sessions","Cavaliers",55,"32.7%"
"Klay Thompson","Warriors",53,"79.2%"
"Devin Brown","Cavaliers",53,"60.4%"
"Shaun Livingston","Warriors",51,"78.4%"
"Stephen Curry","Warriors",49,"77.6%"
"Draymond Green","Warriors",49,"79.6%"
"Jeff McInnis","Cavaliers",48,"50.0%"
"Robert Traylor","Cavaliers",46,"52.2%"
"Lucious Harris","Cavaliers",46,"50.0%"
"Omri Casspi","Cavaliers",42,"31.0%"
"Earl Clark","Cavaliers",42,"33.3%"
"Ian Clark","Warriors",41,"78.0%"
"Flip Murray","Cavaliers",40,"62.5%"
"Harrison Barnes","Warriors",39,"76.9%"
"Marreese Speights","Warriors",38,"76.3%"
"Andre Iguodala","Warriors",38,"81.6%"
"Leandro Barbosa","Warriors",38,"76.3%"
"Anthony Bennett","Cavaliers",37,"37.8%"
"Ryan Hollins","Cavaliers",36,"30.6%"
"Samardo Samuels","Cavaliers",35,"28.6%"
