"Player","Team(s)","GP","Win%"
"LeBron James","Cavaliers, Heat",401,"74.1%"
"Mario Chalmers","Heat",303,"68.6%"
"Dwyane Wade","Heat",281,"67.3%"
"Joel Anthony","Heat",267,"70.0%"
"Udonis Haslem","Heat",232,"66.8%"
"Shawn Marion","Cavaliers, Heat, Suns",228,"66.2%"
"Chris Bosh","Heat",218,"75.2%"
"Tristan Thompson","Cavaliers",191,"64.9%"
"Mike Miller","Cavaliers, Heat",183,"69.9%"
"Steve Nash","Suns",174,"70.7%"
"Raja Bell","Suns",172,"70.3%"
"Boris Diaw","Suns",171,"68.4%"
"Leandro Barbosa","Suns",159,"66.0%"
"Norris Cole","Heat",152,"75.7%"
"Kevin Love","Cavaliers",150,"66.7%"
"Eddie House","Heat, Suns",149,"65.8%"
"Kyrie Irving","Cavaliers",148,"69.6%"
"J.R. Smith","Cavaliers",141,"68.8%"
"Shane Battier","Heat",140,"72.9%"
"Iman Shumpert","Cavaliers",138,"69.6%"
"Matt Dellavedova","Cavaliers",133,"66.2%"
"Channing Frye","Cavaliers, Trail Blazers",128,"60.2%"
"Kurt Thomas","Suns",120,"73.3%"
"Jermaine O'Neal","Pacers, Heat",117,"48.7%"
"Timofey Mozgov","Cavaliers",113,"69.9%"
"Richard Jefferson","Cavaliers",108,"65.7%"
"Juwan Howard","Heat",103,"77.7%"
"Michael Beasley","Heat",98,"53.1%"
"Amar'e Stoudemire","Suns",89,"74.2%"
"Fred Jones","Pacers",89,"49.4%"
"Carlos Arroyo","Heat",84,"65.5%"
"Austin Croshere","Pacers",82,"52.4%"
"Reggie Miller","Pacers",81,"50.6%"
"Zydrunas Ilgauskas","Heat",80,"71.3%"
"Jamaal Magloire","Heat",78,"61.5%"
"Anthony Johnson","Pacers",77,"51.9%"
"Jeff Foster","Pacers",76,"51.3%"
"Ray Allen","Heat",74,"75.7%"
"Chris Andersen","Cavaliers, Heat",74,"81.1%"
"Rashard Lewis","Heat",74,"81.1%"
"Eddie Gill","Pacers",73,"47.9%"
"Pat Burke","Suns",68,"73.5%"
"Daequan Cook","Heat",65,"53.8%"
"Stephen Jackson","Pacers",58,"55.2%"
"Travis Outlaw","Trail Blazers",58,"56.9%"
"Jarrett Jack","Trail Blazers",58,"56.9%"
"Steve Blake","Trail Blazers",57,"57.9%"
"Scot Pollard","Pacers",57,"56.1%"
"Brandon Roy","Trail Blazers",54,"61.1%"
"Joel Przybilla","Trail Blazers",53,"56.6%"
"LaMarcus Aldridge","Trail Blazers",52,"51.9%"
"Martell Webster","Trail Blazers",51,"58.8%"
"Jamaal Tinsley","Pacers",50,"50.0%"
"Erick Dampier","Heat",50,"70.0%"
"Sergio Rodriguez","Trail Blazers",49,"59.2%"
"Joe Harris","Cavaliers",46,"63.0%"
"Tim Thomas","Suns",45,"53.3%"
"Marcus Banks","Heat, Suns",45,"71.1%"
"DeAndre Liggins","Cavaliers",44,"59.1%"
"Jordan McRae","Cavaliers",43,"67.4%"
"Mo Williams","Cavaliers",40,"62.5%"
"David Harrison","Pacers",39,"48.7%"
"Dale Davis","Pacers",38,"57.9%"
"Dexter Pittman","Heat",37,"70.3%"
"Chris Quinn","Heat",36,"47.2%"
"Mike Bibby","Heat",33,"69.7%"
"Dorell Wright","Heat",33,"54.5%"
"Kay Felder","Cavaliers",33,"54.5%"
"Anderson Varejao","Cavaliers",33,"63.6%"
"Yakhouba Diawara","Heat",33,"45.5%"
"Quentin Richardson","Heat",32,"59.4%"
"Kyle Korver","Cavaliers",30,"53.3%"
"Terrel Harris","Heat",30,"63.3%"
"Jared Cunningham","Cavaliers",28,"71.4%"
"Jalen Rose","Suns",27,"77.8%"
"Brian Grant","Suns",26,"50.0%"
"Raef LaFrentz","Trail Blazers",26,"53.8%"
"Kendrick Perkins","Cavaliers",25,"76.0%"
"John Edwards","Pacers",25,"52.0%"
"Jamario Moon","Heat",24,"50.0%"
"Derrick Williams","Cavaliers",24,"54.2%"
"Jim Jackson","Suns",23,"73.9%"
"Dahntay Jones","Cavaliers",22,"68.2%"
"Brendan Haywood","Cavaliers",22,"68.2%"
"Ronny Turiaf","Heat",21,"61.9%"
"Deron Williams","Cavaliers",19,"52.6%"
"Sasha Kaun","Cavaliers",18,"72.2%"
"Dion Waiters","Cavaliers",17,"47.1%"
"Toney Douglas","Heat",17,"52.9%"
"Michael Curry","Pacers",17,"52.9%"
"Nikoloz Tskitishvili","Suns",15,"60.0%"
"Jumaine Jones","Suns",15,"86.7%"
"Mike Dunleavy","Cavaliers",14,"78.6%"
"Eddy Curry","Heat",13,"84.6%"
"Eric Piatkowski","Suns",12,"83.3%"
"Roger Mason","Heat",11,"90.9%"
"Luther Head","Heat",9,"44.4%"
"Marcus Haislip","Pacers",9,"22.2%"
"Dijon Thompson","Suns",9,"88.9%"
"A.J. Price","Cavaliers",9,"22.2%"
"Metta World Peace","Pacers",8,"62.5%"
"Tremaine Fowlkes","Pacers",8,"25.0%"
"Lou Amundson","Cavaliers",8,"37.5%"
"Mickell Gladness","Heat",8,"87.5%"
"Jarvis Varnado","Heat",8,"100.0%"
"Rafer Alston","Heat",7,"71.4%"
"Jerry Stackhouse","Heat",7,"71.4%"
