"Player","Team(s)","GP","Win%"
"LeBron James","Cavaliers",330,"62.1%"
"Zydrunas Ilgauskas","Cavaliers",317,"61.8%"
"Anderson Varejao","Cavaliers",286,"63.3%"
"Drew Gooden","Cavaliers",244,"57.0%"
"Eric Snow","Cavaliers",223,"56.1%"
"Daniel Gibson","Cavaliers",184,"64.7%"
"Damon Jones","Cavaliers",155,"56.1%"
"Donyell Marshall","Cavaliers",142,"59.9%"
"Mo Williams","Cavaliers, Jazz",131,"64.1%"
"Ira Newble","Cavaliers",127,"56.7%"
"Larry Hughes","Cavaliers",117,"62.4%"
"Delonte West","Celtics, Cavaliers",97,"69.1%"
"Wally Szczerbiak","Cavaliers",87,"72.4%"
"Ryan Hollins","Celtics, Timberwolves",87,"27.6%"
"J.J. Hickson","Cavaliers, Trail Blazers",86,"61.6%"
"Carlos Arroyo","Celtics, Jazz",80,"47.5%"
"Raja Bell","Jazz",79,"49.4%"
"Raul Lopez","Jazz",79,"49.4%"
"Jarron Collins","Jazz",78,"48.7%"
"Andrei Kirilenko","Jazz",75,"52.0%"
"Greg Ostertag","Jazz",75,"48.0%"
"Ben Wallace","Cavaliers",75,"74.7%"
"Corey Brewer","Timberwolves",71,"15.5%"
"Ramon Sessions","Timberwolves",71,"15.5%"
"Jonny Flynn","Timberwolves",70,"15.7%"
"Damien Wilkins","Timberwolves",69,"14.5%"
"Paul Pierce","Celtics",65,"60.0%"
"Al Jefferson","Timberwolves",65,"16.9%"
"Kevin Garnett","Celtics",65,"58.5%"
"Ryan Gomes","Timberwolves",65,"12.3%"
"Wayne Ellington","Timberwolves",65,"16.9%"
"DeShawn Stevenson","Mavericks, Jazz",62,"46.8%"
"Robert Traylor","Cavaliers",61,"50.8%"
"Jeff McInnis","Cavaliers",60,"48.3%"
"Avery Bradley","Celtics",58,"62.1%"
"Rajon Rondo","Celtics",57,"52.6%"
"Lucious Harris","Cavaliers",56,"50.0%"
"Brandon Bass","Celtics",52,"63.5%"
"Tarence Kinsey","Cavaliers",52,"82.7%"
"Kevin Love","Timberwolves",50,"18.0%"
"Devin Brown","Cavaliers",50,"58.0%"
"Greg Stiemsma","Celtics",49,"61.2%"
"Ray Allen","Celtics",48,"47.9%"
"Joe Smith","Cavaliers",48,"68.8%"
"Darnell Jackson","Cavaliers",44,"81.8%"
"Keyon Dooling","Celtics",42,"52.4%"
"Michael Ruffin","Jazz",41,"43.9%"
"Oleksiy Pecherov","Timberwolves",40,"12.5%"
"Damian Lillard","Trail Blazers",39,"38.5%"
"E'Twaun Moore","Celtics",38,"68.4%"
