"Player","Season(s)","Team(s)","GP","PTS","REB","AST","Win%"
"Zydrunas Ilgauskas","8: 2003-04 to 2010-11","Cavaliers, Heat",641,12.3,7.3,1.1,"62.7%"
"Anderson Varejao","8: 2004-05 to 2015-16","Cavaliers",498,6.7,6.3,0.8,"65.7%"
"James Jones","7: 2010-11 to 2016-17","Cavaliers, Heat",401,3.6,1.1,0.3,"74.1%"
"Dwyane Wade","5: 2010-11 to 2017-18","Cavaliers, Heat",371,20.5,5.1,4.5,"69.5%"
"Mario Chalmers","4: 2010-11 to 2013-14","Heat",358,8.6,2.5,3.4,"72.9%"
"Chris Bosh","4: 2010-11 to 2013-14","Heat",356,16.7,7.3,1.5,"72.2%"
"Tristan Thompson","5: 2014-15 to 2022-23","Cavaliers, Lakers",353,7.5,8.3,0.7,"67.4%"
"Sasha Pavlovic","5: 2004-05 to 2008-09","Cavaliers",330,5.8,1.8,1,"62.1%"
"J.R. Smith","5: 2014-15 to 2019-20","Cavaliers, Lakers",325,10.1,2.9,1.6,"68.9%"
"Kevin Love","4: 2014-15 to 2017-18","Cavaliers",315,16.7,9.9,2.1,"69.5%"
"Drew Gooden","4: 2004-05 to 2007-08","Cavaliers",310,11.7,8.6,1.1,"58.4%"
"Anthony Davis","6: 2019-20 to 2024-25","Lakers",302,24.6,10.9,3.2,"62.6%"
"Daniel Gibson","4: 2006-07 to 2009-10","Cavaliers",286,7,1.7,1.5,"68.2%"
"Eric Snow","4: 2004-05 to 2007-08","Cavaliers",284,4,2.1,3.7,"57.4%"
"Norris Cole","3: 2011-12 to 2013-14","Heat",272,5.6,1.5,2.1,"72.8%"
"Udonis Haslem","4: 2010-11 to 2013-14","Heat",258,4.6,5.4,0.5,"71.3%"
"Shane Battier","3: 2011-12 to 2013-14","Heat",257,5.1,2.1,0.9,"72.4%"
"Joel Anthony","4: 2010-11 to 2013-14","Heat",252,2.2,3.1,0.2,"73.8%"
"Austin Reaves","4: 2021-22 to 2024-25","Lakers",241,14.3,3.8,4.2,"57.3%"
"Kyrie Irving","3: 2014-15 to 2016-17","Cavaliers",235,22.5,3.1,5.1,"72.8%"
