"Player","Team(s)","GP","Win%","name"
"LeBron James","Cavaliers",498,"65.7%","Anderson Varejao"
"Zydrunas Ilgauskas","Cavaliers",399,"64.9%","Anderson Varejao"
"Daniel Gibson","Cavaliers",338,"59.8%","Anderson Varejao"
"Sasha Pavlovic","Cavaliers",286,"63.3%","Anderson Varejao"
"Drew Gooden","Cavaliers",232,"58.6%","Anderson Varejao"
"Eric Snow","Cavaliers",220,"57.3%","Anderson Varejao"
"Mo Williams","Cavaliers",219,"68.0%","Anderson Varejao"
"Delonte West","Cavaliers",180,"69.4%","Anderson Varejao"
"J.J. Hickson","Cavaliers",176,"67.0%","Anderson Varejao"
"Damon Jones","Cavaliers",168,"57.7%","Anderson Varejao"
"Tristan Thompson","Cavaliers",166,"45.2%","Anderson Varejao"
"Donyell Marshall","Cavaliers",159,"59.1%","Anderson Varejao"
"Anthony Parker","Cavaliers",134,"59.0%","Anderson Varejao"
"Kyrie Irving","Cavaliers",126,"43.7%","Anderson Varejao"
"Larry Hughes","Cavaliers",126,"62.7%","Anderson Varejao"
"Wally Szczerbiak","Cavaliers",122,"70.5%","Anderson Varejao"
"Ira Newble","Cavaliers",117,"56.4%","Anderson Varejao"
"Ben Wallace","Cavaliers",104,"70.2%","Anderson Varejao"
"Alonzo Gee","Cavaliers",103,"35.0%","Anderson Varejao"
"Dion Waiters","Cavaliers",102,"41.2%","Anderson Varejao"
"Matt Dellavedova","Cavaliers",93,"50.5%","Anderson Varejao"
"Jamario Moon","Cavaliers",91,"64.8%","Anderson Varejao"
"Jawad Williams","Cavaliers",87,"60.9%","Anderson Varejao"
"Antawn Jamison","Cavaliers",85,"42.4%","Anderson Varejao"
"Darnell Jackson","Cavaliers",80,"85.0%","Anderson Varejao"
"Tyler Zeller","Cavaliers",75,"32.0%","Anderson Varejao"
"Joe Smith","Cavaliers",72,"65.3%","Anderson Varejao"
"Shaquille O'Neal","Cavaliers",64,"71.9%","Anderson Varejao"
"C.J. Miles","Cavaliers",64,"34.4%","Anderson Varejao"
"Jarrett Jack","Cavaliers",63,"38.1%","Anderson Varejao"
"Kevin Love","Cavaliers",59,"64.4%","Anderson Varejao"
"Tarence Kinsey","Cavaliers",58,"82.8%","Anderson Varejao"
"Ramon Sessions","Cavaliers",55,"32.7%","Anderson Varejao"
"Klay Thompson","Warriors",53,"79.2%","Anderson Varejao"
"Devin Brown","Cavaliers",53,"60.4%","Anderson Varejao"
"Shaun Livingston","Warriors",51,"78.4%","Anderson Varejao"
"Stephen Curry","Warriors",49,"77.6%","Anderson Varejao"
"Draymond Green","Warriors",49,"79.6%","Anderson Varejao"
"Jeff McInnis","Cavaliers",48,"50.0%","Anderson Varejao"
"Robert Traylor","Cavaliers",46,"52.2%","Anderson Varejao"
"Lucious Harris","Cavaliers",46,"50.0%","Anderson Varejao"
"Omri Casspi","Cavaliers",42,"31.0%","Anderson Varejao"
"Earl Clark","Cavaliers",42,"33.3%","Anderson Varejao"
"Ian Clark","Warriors",41,"78.0%","Anderson Varejao"
"Flip Murray","Cavaliers",40,"62.5%","Anderson Varejao"
"Harrison Barnes","Warriors",39,"76.9%","Anderson Varejao"
"Marreese Speights","Warriors",38,"76.3%","Anderson Varejao"
"Andre Iguodala","Warriors",38,"81.6%","Anderson Varejao"
"Leandro Barbosa","Warriors",38,"76.3%","Anderson Varejao"
"Anthony Bennett","Cavaliers",37,"37.8%","Anderson Varejao"
"Ryan Hollins","Cavaliers",36,"30.6%","Anderson Varejao"
"Samardo Samuels","Cavaliers",35,"28.6%","Anderson Varejao"
"David Wesley","Cavaliers",35,"57.1%","Anderson Varejao"
"Andrew Bogut","Warriors",33,"81.8%","Anderson Varejao"
"James Jones","Cavaliers",33,"63.6%","Anderson Varejao"
"Dwayne Jones","Cavaliers",33,"60.6%","Anderson Varejao"
"Richard Jefferson","Cavaliers",31,"71.0%","Anderson Varejao"
"Brandon Rush","Warriors",31,"74.2%","Anderson Varejao"
"Leon Powe","Cavaliers",29,"44.8%","Anderson Varejao"
"Shannon Brown","Cavaliers",29,"62.1%","Anderson Varejao"
"J.R. Smith","Cavaliers",28,"67.9%","Anderson Varejao"
"Timofey Mozgov","Cavaliers",28,"71.4%","Anderson Varejao"
"Jared Cunningham","Cavaliers",27,"74.1%","Anderson Varejao"
"Joe Harris","Cavaliers",27,"70.4%","Anderson Varejao"
