"Player","Team(s)","GP","Win%","name"
"LeBron James","Cavaliers, Heat",401,"74.1%","Chris Bosh"
"Mario Chalmers","Heat",303,"68.6%","Chris Bosh"
"Dwyane Wade","Heat",281,"67.3%","Chris Bosh"
"Joel Anthony","Heat",267,"70.0%","Chris Bosh"
"Udonis Haslem","Heat",232,"66.8%","Chris Bosh"
"Shawn Marion","Cavaliers, Heat, Suns",228,"66.2%","Chris Bosh"
"Chris Bosh","Heat",218,"75.2%","Chris Bosh"
"Tristan Thompson","Cavaliers",191,"64.9%","Chris Bosh"
"Mike Miller","Cavaliers, Heat",183,"69.9%","Chris Bosh"
"Steve Nash","Suns",174,"70.7%","Chris Bosh"
"Raja Bell","Suns",172,"70.3%","Chris Bosh"
"Boris Diaw","Suns",171,"68.4%","Chris Bosh"
"Leandro Barbosa","Suns",159,"66.0%","Chris Bosh"
"Norris Cole","Heat",152,"75.7%","Chris Bosh"
"Kevin Love","Cavaliers",150,"66.7%","Chris Bosh"
"Eddie House","Heat, Suns",149,"65.8%","Chris Bosh"
"Kyrie Irving","Cavaliers",148,"69.6%","Chris Bosh"
"J.R. Smith","Cavaliers",141,"68.8%","Chris Bosh"
"Shane Battier","Heat",140,"72.9%","Chris Bosh"
"Iman Shumpert","Cavaliers",138,"69.6%","Chris Bosh"
"Matt Dellavedova","Cavaliers",133,"66.2%","Chris Bosh"
"Channing Frye","Cavaliers, Trail Blazers",128,"60.2%","Chris Bosh"
"Kurt Thomas","Suns",120,"73.3%","Chris Bosh"
"Jermaine O'Neal","Pacers, Heat",117,"48.7%","Chris Bosh"
"Timofey Mozgov","Cavaliers",113,"69.9%","Chris Bosh"
"Richard Jefferson","Cavaliers",108,"65.7%","Chris Bosh"
"Juwan Howard","Heat",103,"77.7%","Chris Bosh"
"Michael Beasley","Heat",98,"53.1%","Chris Bosh"
"Amar'e Stoudemire","Suns",89,"74.2%","Chris Bosh"
"Fred Jones","Pacers",89,"49.4%","Chris Bosh"
"Carlos Arroyo","Heat",84,"65.5%","Chris Bosh"
"Austin Croshere","Pacers",82,"52.4%","Chris Bosh"
"Reggie Miller","Pacers",81,"50.6%","Chris Bosh"
"Zydrunas Ilgauskas","Heat",80,"71.3%","Chris Bosh"
"Jamaal Magloire","Heat",78,"61.5%","Chris Bosh"
"Anthony Johnson","Pacers",77,"51.9%","Chris Bosh"
"Jeff Foster","Pacers",76,"51.3%","Chris Bosh"
"Ray Allen","Heat",74,"75.7%","Chris Bosh"
"Chris Andersen","Cavaliers, Heat",74,"81.1%","Chris Bosh"
"Rashard Lewis","Heat",74,"81.1%","Chris Bosh"
"Eddie Gill","Pacers",73,"47.9%","Chris Bosh"
"Pat Burke","Suns",68,"73.5%","Chris Bosh"
"Daequan Cook","Heat",65,"53.8%","Chris Bosh"
"Stephen Jackson","Pacers",58,"55.2%","Chris Bosh"
"Travis Outlaw","Trail Blazers",58,"56.9%","Chris Bosh"
"Jarrett Jack","Trail Blazers",58,"56.9%","Chris Bosh"
"Steve Blake","Trail Blazers",57,"57.9%","Chris Bosh"
"Scot Pollard","Pacers",57,"56.1%","Chris Bosh"
"Brandon Roy","Trail Blazers",54,"61.1%","Chris Bosh"
"Joel Przybilla","Trail Blazers",53,"56.6%","Chris Bosh"
"LaMarcus Aldridge","Trail Blazers",52,"51.9%","Chris Bosh"
"Martell Webster","Trail Blazers",51,"58.8%","Chris Bosh"
"Jamaal Tinsley","Pacers",50,"50.0%","Chris Bosh"
"Erick Dampier","Heat",50,"70.0%","Chris Bosh"
"Sergio Rodriguez","Trail Blazers",49,"59.2%","Chris Bosh"
"Joe Harris","Cavaliers",46,"63.0%","Chris Bosh"
"Tim Thomas","Suns",45,"53.3%","Chris Bosh"
"Marcus Banks","Heat, Suns",45,"71.1%","Chris Bosh"
"DeAndre Liggins","Cavaliers",44,"59.1%","Chris Bosh"
"Jordan McRae","Cavaliers",43,"67.4%","Chris Bosh"
"Mo Williams","Cavaliers",40,"62.5%","Chris Bosh"
"David Harrison","Pacers",39,"48.7%","Chris Bosh"
"Dale Davis","Pacers",38,"57.9%","Chris Bosh"
"Dexter Pittman","Heat",37,"70.3%","Chris Bosh"
"Chris Quinn","Heat",36,"47.2%","Chris Bosh"
"Mike Bibby","Heat",33,"69.7%","Chris Bosh"
"Dorell Wright","Heat",33,"54.5%","Chris Bosh"
"Kay Felder","Cavaliers",33,"54.5%","Chris Bosh"
"Anderson Varejao","Cavaliers",33,"63.6%","Chris Bosh"
"Yakhouba Diawara","Heat",33,"45.5%","Chris Bosh"
"Quentin Richardson","Heat",32,"59.4%","Chris Bosh"
"Kyle Korver","Cavaliers",30,"53.3%","Chris Bosh"
"Terrel Harris","Heat",30,"63.3%","Chris Bosh"
"Jared Cunningham","Cavaliers",28,"71.4%","Chris Bosh"
"Jalen Rose","Suns",27,"77.8%","Chris Bosh"
"Brian Grant","Suns",26,"50.0%","Chris Bosh"
"Raef LaFrentz","Trail Blazers",26,"53.8%","Chris Bosh"
"Kendrick Perkins","Cavaliers",25,"76.0%","Chris Bosh"
"John Edwards","Pacers",25,"52.0%","Chris Bosh"
"Jamario Moon","Heat",24,"50.0%","Chris Bosh"
"Derrick Williams","Cavaliers",24,"54.2%","Chris Bosh"
"Jim Jackson","Suns",23,"73.9%","Chris Bosh"
"Dahntay Jones","Cavaliers",22,"68.2%","Chris Bosh"
"Brendan Haywood","Cavaliers",22,"68.2%","Chris Bosh"
"Ronny Turiaf","Heat",21,"61.9%","Chris Bosh"
"Deron Williams","Cavaliers",19,"52.6%","Chris Bosh"
"Sasha Kaun","Cavaliers",18,"72.2%","Chris Bosh"
"Dion Waiters","Cavaliers",17,"47.1%","Chris Bosh"
"Toney Douglas","Heat",17,"52.9%","Chris Bosh"
"Michael Curry","Pacers",17,"52.9%","Chris Bosh"
"Nikoloz Tskitishvili","Suns",15,"60.0%","Chris Bosh"
"Jumaine Jones","Suns",15,"86.7%","Chris Bosh"
"Mike Dunleavy","Cavaliers",14,"78.6%","Chris Bosh"
"Eddy Curry","Heat",13,"84.6%","Chris Bosh"
"Eric Piatkowski","Suns",12,"83.3%","Chris Bosh"
"Roger Mason","Heat",11,"90.9%","Chris Bosh"
"Luther Head","Heat",9,"44.4%","Chris Bosh"
"Marcus Haislip","Pacers",9,"22.2%","Chris Bosh"
"Dijon Thompson","Suns",9,"88.9%","Chris Bosh"
"A.J. Price","Cavaliers",9,"22.2%","Chris Bosh"
"Metta World Peace","Pacers",8,"62.5%","Chris Bosh"
"Tremaine Fowlkes","Pacers",8,"25.0%","Chris Bosh"
"Lou Amundson","Cavaliers",8,"37.5%","Chris Bosh"
"Mickell Gladness","Heat",8,"87.5%","Chris Bosh"
"Jarvis Varnado","Heat",8,"100.0%","Chris Bosh"
"Rafer Alston","Heat",7,"71.4%","Chris Bosh"
"Jerry Stackhouse","Heat",7,"71.4%","Chris Bosh"
"Von Wafer","Trail Blazers",7,"42.9%","Chris Bosh"
"Al Harrington","Pacers",6,"50.0%","Chris Bosh"
"Mark Blount","Heat",6,"50.0%","Chris Bosh"
"Justin Hamilton","Heat",6,"66.7%","Chris Bosh"
"Britton Johnsen","Pacers",6,"33.3%","Chris Bosh"
"Jonathan Bender","Pacers",5,"40.0%","Chris Bosh"
"Josh Harrellson","Heat",5,"40.0%","Chris Bosh"
"Greg Oden","Heat",5,"20.0%","Chris Bosh"
"Josh McRoberts","Trail Blazers",5,"60.0%","Chris Bosh"
"Taurean Green","Trail Blazers",4,"50.0%","Chris Bosh"
"Larry Sanders","Cavaliers",4,"50.0%","Chris Bosh"
"Shavlik Randolph","Heat",3,"33.3%","Chris Bosh"
"Sean Marks","Suns",3,"66.7%","Chris Bosh"
"Sharrod Ford","Suns",3,"100.0%","Chris Bosh"
"Alex Kirk","Cavaliers",3,"0.0%","Chris Bosh"
"Andre Barrett","Suns",2,"50.0%","Chris Bosh"
"Will Cherry","Cavaliers",2,"100.0%","Chris Bosh"
"Edy Tavares","Cavaliers",1,"0.0%","Chris Bosh"
"Josh Davis","Suns",1,"0.0%","Chris Bosh"
"Jamison Brewer","Pacers",1,"100.0%","Chris Bosh"
"Kenny Anderson","Pacers",1,"0.0%","Chris Bosh"
