"Player","Team(s)","GP","Win%","name"
"Udonis Haslem","Heat",834,"60.8%","Dwayne Wade"
"Mario Chalmers","Heat",540,"63.3%","Dwayne Wade"
"Chris Bosh","Heat",389,"67.6%","Dwayne Wade"
"Joel Anthony","Heat",384,"64.6%","Dwayne Wade"
"LeBron James","Cavaliers, Heat",371,"69.5%","Dwayne Wade"
"James Jones","Heat",281,"67.3%","Dwayne Wade"
"Norris Cole","Heat",260,"67.7%","Dwayne Wade"
"Michael Beasley","Heat",224,"54.0%","Dwayne Wade"
"Shane Battier","Heat",216,"70.4%","Dwayne Wade"
"Shaquille O'Neal","Heat",205,"63.4%","Dwayne Wade"
"Hassan Whiteside","Heat",199,"48.7%","Dwayne Wade"
"Alonzo Mourning","Heat",185,"58.9%","Dwayne Wade"
"Dorell Wright","Heat",182,"48.9%","Dwayne Wade"
"Eddie Jones","Heat",178,"63.5%","Dwayne Wade"
"Chris Andersen","Heat",170,"67.6%","Dwayne Wade"
"Mike Miller","Heat",167,"70.1%","Dwayne Wade"
"Justise Winslow","Heat",165,"52.1%","Dwayne Wade"
"Goran Dragic","Heat",161,"52.2%","Dwayne Wade"
"Jason Williams","Heat",161,"47.8%","Dwayne Wade"
"Ray Allen","Heat",159,"71.7%","Dwayne Wade"
"Michael Doleac","Heat",158,"66.5%","Dwayne Wade"
"Daequan Cook","Heat",155,"45.2%","Dwayne Wade"
"Antoine Walker","Heat",151,"58.9%","Dwayne Wade"
"Josh Richardson","Heat",147,"50.3%","Dwayne Wade"
"Gary Payton","Heat",139,"59.7%","Dwayne Wade"
"Luol Deng","Heat",137,"54.0%","Dwayne Wade"
"James Posey","Heat",131,"61.1%","Dwayne Wade"
"Chris Quinn","Heat",124,"42.7%","Dwayne Wade"
"Shandon Anderson","Heat",124,"68.5%","Dwayne Wade"
"Tyler Johnson","Heat",117,"50.4%","Dwayne Wade"
"Carlos Arroyo","Heat",117,"63.2%","Dwayne Wade"
"Rasual Butler","Heat",114,"70.2%","Dwayne Wade"
"Jamaal Magloire","Heat",111,"58.6%","Dwayne Wade"
"Rashard Lewis","Heat",107,"75.7%","Dwayne Wade"
"Jermaine O'Neal","Heat",103,"50.5%","Dwayne Wade"
"Jason Kapono","Heat",100,"54.0%","Dwayne Wade"
"Rafer Alston","Heat",98,"53.1%","Dwayne Wade"
"Bam Adebayo","Heat",94,"46.8%","Dwayne Wade"
"Juwan Howard","Heat",93,"74.2%","Dwayne Wade"
"Damon Jones","Heat",91,"73.6%","Dwayne Wade"
"Kelly Olynyk","Heat",90,"50.0%","Dwayne Wade"
"Keyon Dooling","Heat",83,"72.3%","Dwayne Wade"
"James Johnson","Heat",77,"48.1%","Dwayne Wade"
"Quentin Richardson","Heat",76,"56.6%","Dwayne Wade"
"Zydrunas Ilgauskas","Heat",75,"72.0%","Dwayne Wade"
"Gerald Green","Heat",74,"55.4%","Dwayne Wade"
"Rodney McGruder","Heat",73,"47.9%","Dwayne Wade"
"Lamar Odom","Heat",72,"54.2%","Dwayne Wade"
"Brian Grant","Heat",70,"54.3%","Dwayne Wade"
"Yakhouba Diawara","Heat",70,"52.9%","Dwayne Wade"
"Robin Lopez","Bulls",66,"47.0%","Dwayne Wade"
"Jimmy Butler III","Bulls",63,"47.6%","Dwayne Wade"
"Caron Butler","Heat",62,"59.7%","Dwayne Wade"
"Josh McRoberts","Heat",61,"57.4%","Dwayne Wade"
"Nikola Mirotic","Bulls",60,"50.0%","Dwayne Wade"
"Eddie House","Heat",59,"66.1%","Dwayne Wade"
"Mark Blount","Heat",58,"22.4%","Dwayne Wade"
"Christian Laettner","Heat",58,"79.3%","Dwayne Wade"
"Cristiano Felicio","Bulls",57,"45.6%","Dwayne Wade"
"Derrick Jones","Heat",56,"53.6%","Dwayne Wade"
"Shawn Marion","Heat",54,"44.4%","Dwayne Wade"
"Amar'e Stoudemire","Heat",54,"55.6%","Dwayne Wade"
"Jerian Grant","Bulls",53,"43.4%","Dwayne Wade"
