"Player","Team(s)","GP","Win%","name"
"LeBron James","Cavaliers, Heat",401,"74.1%","James Jones"
"Mario Chalmers","Heat",303,"68.6%","James Jones"
"Dwyane Wade","Heat",281,"67.3%","James Jones"
"Joel Anthony","Heat",267,"70.0%","James Jones"
"Udonis Haslem","Heat",232,"66.8%","James Jones"
"Shawn Marion","Cavaliers, Heat, Suns",228,"66.2%","James Jones"
"Chris Bosh","Heat",218,"75.2%","James Jones"
"Tristan Thompson","Cavaliers",191,"64.9%","James Jones"
"Mike Miller","Cavaliers, Heat",183,"69.9%","James Jones"
"Steve Nash","Suns",174,"70.7%","James Jones"
"Raja Bell","Suns",172,"70.3%","James Jones"
"Boris Diaw","Suns",171,"68.4%","James Jones"
"Leandro Barbosa","Suns",159,"66.0%","James Jones"
"Norris Cole","Heat",152,"75.7%","James Jones"
"Kevin Love","Cavaliers",150,"66.7%","James Jones"
"Eddie House","Heat, Suns",149,"65.8%","James Jones"
"Kyrie Irving","Cavaliers",148,"69.6%","James Jones"
"J.R. Smith","Cavaliers",141,"68.8%","James Jones"
"Shane Battier","Heat",140,"72.9%","James Jones"
"Iman Shumpert","Cavaliers",138,"69.6%","James Jones"
"Matt Dellavedova","Cavaliers",133,"66.2%","James Jones"
"Channing Frye","Cavaliers, Trail Blazers",128,"60.2%","James Jones"
"Kurt Thomas","Suns",120,"73.3%","James Jones"
"Jermaine O'Neal","Pacers, Heat",117,"48.7%","James Jones"
"Timofey Mozgov","Cavaliers",113,"69.9%","James Jones"
"Richard Jefferson","Cavaliers",108,"65.7%","James Jones"
"Juwan Howard","Heat",103,"77.7%","James Jones"
"Michael Beasley","Heat",98,"53.1%","James Jones"
"Amar'e Stoudemire","Suns",89,"74.2%","James Jones"
"Fred Jones","Pacers",89,"49.4%","James Jones"
"Carlos Arroyo","Heat",84,"65.5%","James Jones"
"Austin Croshere","Pacers",82,"52.4%","James Jones"
"Reggie Miller","Pacers",81,"50.6%","James Jones"
"Zydrunas Ilgauskas","Heat",80,"71.3%","James Jones"
"Jamaal Magloire","Heat",78,"61.5%","James Jones"
"Anthony Johnson","Pacers",77,"51.9%","James Jones"
"Jeff Foster","Pacers",76,"51.3%","James Jones"
"Ray Allen","Heat",74,"75.7%","James Jones"
"Chris Andersen","Cavaliers, Heat",74,"81.1%","James Jones"
"Rashard Lewis","Heat",74,"81.1%","James Jones"
"Eddie Gill","Pacers",73,"47.9%","James Jones"
"Pat Burke","Suns",68,"73.5%","James Jones"
"Daequan Cook","Heat",65,"53.8%","James Jones"
"Stephen Jackson","Pacers",58,"55.2%","James Jones"
"Travis Outlaw","Trail Blazers",58,"56.9%","James Jones"
"Jarrett Jack","Trail Blazers",58,"56.9%","James Jones"
"Steve Blake","Trail Blazers",57,"57.9%","James Jones"
