"Player","Team(s)","GP","Win%","name"
"LeBron James","Cavaliers",330,"62.1%","Sasha Pavlovic"
"Zydrunas Ilgauskas","Cavaliers",317,"61.8%","Sasha Pavlovic"
"Anderson Varejao","Cavaliers",286,"63.3%","Sasha Pavlovic"
"Drew Gooden","Cavaliers",244,"57.0%","Sasha Pavlovic"
"Eric Snow","Cavaliers",223,"56.1%","Sasha Pavlovic"
"Daniel Gibson","Cavaliers",184,"64.7%","Sasha Pavlovic"
"Damon Jones","Cavaliers",155,"56.1%","Sasha Pavlovic"
"Donyell Marshall","Cavaliers",142,"59.9%","Sasha Pavlovic"
"Mo Williams","Cavaliers, Jazz",131,"64.1%","Sasha Pavlovic"
"Ira Newble","Cavaliers",127,"56.7%","Sasha Pavlovic"
"Larry Hughes","Cavaliers",117,"62.4%","Sasha Pavlovic"
"Delonte West","Celtics, Cavaliers",97,"69.1%","Sasha Pavlovic"
"Wally Szczerbiak","Cavaliers",87,"72.4%","Sasha Pavlovic"
"Ryan Hollins","Celtics, Timberwolves",87,"27.6%","Sasha Pavlovic"
"J.J. Hickson","Cavaliers, Trail Blazers",86,"61.6%","Sasha Pavlovic"
"Carlos Arroyo","Celtics, Jazz",80,"47.5%","Sasha Pavlovic"
"Raja Bell","Jazz",79,"49.4%","Sasha Pavlovic"
"Raul Lopez","Jazz",79,"49.4%","Sasha Pavlovic"
"Jarron Collins","Jazz",78,"48.7%","Sasha Pavlovic"
"Andrei Kirilenko","Jazz",75,"52.0%","Sasha Pavlovic"
"Greg Ostertag","Jazz",75,"48.0%","Sasha Pavlovic"
"Ben Wallace","Cavaliers",75,"74.7%","Sasha Pavlovic"
"Corey Brewer","Timberwolves",71,"15.5%","Sasha Pavlovic"
"Ramon Sessions","Timberwolves",71,"15.5%","Sasha Pavlovic"
"Jonny Flynn","Timberwolves",70,"15.7%","Sasha Pavlovic"
"Damien Wilkins","Timberwolves",69,"14.5%","Sasha Pavlovic"
"Paul Pierce","Celtics",65,"60.0%","Sasha Pavlovic"
"Al Jefferson","Timberwolves",65,"16.9%","Sasha Pavlovic"
