"Player","Team(s)","GP","Win%","name"
"Jrue Holiday","Pelicans",322,"49.1%","Anthony Davis"
"LeBron James","Lakers",302,"62.6%","Anthony Davis"
"Dante Cunningham","Pelicans",221,"46.6%","Anthony Davis"
"Austin Reaves","Lakers",214,"56.5%","Anthony Davis"
"Darius Miller","Pelicans",210,"47.1%","Anthony Davis"
"E'Twaun Moore","Pelicans",198,"49.5%","Anthony Davis"
"Ryan Anderson","Pelicans",197,"43.7%","Anthony Davis"
"Eric Gordon","Pelicans",184,"44.0%","Anthony Davis"
"Alexis Ajinca","Pelicans",180,"45.6%","Anthony Davis"
"Tyreke Evans","Pelicans",176,"48.9%","Anthony Davis"
"Omer Asik","Pelicans",154,"49.4%","Anthony Davis"
"Rui Hachimura","Lakers",152,"58.6%","Anthony Davis"
"Rajon Rondo","Lakers, Pelicans",143,"66.4%","Anthony Davis"
"Max Christie","Mavericks, Lakers",141,"56.7%","Anthony Davis"
"D'Angelo Russell","Lakers",139,"60.4%","Anthony Davis"
"Austin Rivers","Pelicans",137,"42.3%","Anthony Davis"
"Al-Farouq Aminu","Pelicans",124,"39.5%","Anthony Davis"
"Brian Roberts","Pelicans",122,"40.2%","Anthony Davis"
"Kentavious Caldwell-Pope","Lakers",121,"71.1%","Anthony Davis"
"Solomon Hill","Pelicans",121,"45.5%","Anthony Davis"
"Kyle Kuzma","Lakers",118,"69.5%","Anthony Davis"
"Ian Clark","Pelicans",114,"56.1%","Anthony Davis"
"Alex Caruso","Lakers",113,"71.7%","Anthony Davis"
"Dwight Howard","Lakers",110,"64.5%","Anthony Davis"
"Cheick Diallo","Pelicans",106,"54.7%","Anthony Davis"
"Luke Babbitt","Pelicans",99,"47.5%","Anthony Davis"
"Tim Frazier","Pelicans",97,"42.3%","Anthony Davis"
"Dennis Schroder","Lakers",94,"60.6%","Anthony Davis"
"Jaxson Hayes","Lakers",92,"58.7%","Anthony Davis"
"Danny Green","Lakers",83,"75.9%","Anthony Davis"
"Taurean Prince","Lakers",79,"57.0%","Anthony Davis"
"Avery Bradley","Lakers",76,"57.9%","Anthony Davis"
"JaVale McGee","Lakers",75,"76.0%","Anthony Davis"
"Cam Reddish","Lakers",75,"54.7%","Anthony Davis"
"Jeff Withey","Pelicans",74,"44.6%","Anthony Davis"
"Russell Westbrook","Lakers",69,"44.9%","Anthony Davis"
"Jarred Vanderbilt","Lakers",69,"60.9%","Anthony Davis"
"Norris Cole","Pelicans",66,"50.0%","Anthony Davis"
"Talen Horton-Tucker","Lakers",66,"53.0%","Anthony Davis"
"Troy Brown, Jr.","Lakers",66,"57.6%","Anthony Davis"
"Nikola Mirotic","Pelicans",64,"59.4%","Anthony Davis"
"Robin Lopez","Pelicans",64,"35.9%","Anthony Davis"
"Jason Smith","Pelicans",63,"38.1%","Anthony Davis"
"Markieff Morris","Lakers",63,"60.3%","Anthony Davis"
"Quinn Cook","Lakers, Pelicans",63,"73.0%","Anthony Davis"
"Greivis Vasquez","Pelicans",62,"35.5%","Anthony Davis"
"Anthony Morrow","Pelicans",61,"44.3%","Anthony Davis"
"Alonzo Gee","Pelicans",61,"39.3%","Anthony Davis"
"DeMarcus Cousins","Pelicans",59,"52.5%","Anthony Davis"
"Wenyen Gabriel","Lakers",58,"56.9%","Anthony Davis"
"Lonnie Walker","Lakers",56,"50.0%","Anthony Davis"
"Julius Randle","Pelicans",55,"45.5%","Anthony Davis"
"Jared Dudley","Lakers",54,"68.5%","Anthony Davis"
"Buddy Hield","Pelicans",53,"39.6%","Anthony Davis"
"Gabe Vincent","Lakers",53,"58.5%","Anthony Davis"
"Langston Galloway","Pelicans",51,"39.2%","Anthony Davis"
"Toney Douglas","Pelicans",51,"45.1%","Anthony Davis"
"Roger Mason","Pelicans",51,"31.4%","Anthony Davis"
"Greg Stiemsma","Pelicans",50,"42.0%","Anthony Davis"
"Lance Thomas","Pelicans",49,"36.7%","Anthony Davis"
"Terrence Jones","Pelicans",47,"36.2%","Anthony Davis"
"Christian Wood","Lakers, Pelicans",47,"57.4%","Anthony Davis"
"Dalton Knecht","Lakers",42,"57.1%","Anthony Davis"
"Frank Jackson","Pelicans",42,"40.5%","Anthony Davis"
"Spencer Dinwiddie","Mavericks, Lakers",40,"62.5%","Anthony Davis"
"Jimmer Fredette","Pelicans",40,"57.5%","Anthony Davis"
"Malik Monk","Lakers",38,"42.1%","Anthony Davis"
"Jameer Nelson","Pelicans",38,"52.6%","Anthony Davis"
"Montrezl Harrell","Lakers",37,"62.2%","Anthony Davis"
"Maxwell Lewis","Lakers",37,"56.8%","Anthony Davis"
"Quincy Pondexter","Pelicans",36,"58.3%","Anthony Davis"
"Malik Beasley","Lakers",36,"66.7%","Anthony Davis"
"Troy Daniels","Lakers",35,"77.1%","Anthony Davis"
"Marc Gasol","Lakers",35,"65.7%","Anthony Davis"
"Xavier Henry","Pelicans",35,"37.1%","Anthony Davis"
"Carmelo Anthony","Lakers",34,"44.1%","Anthony Davis"
"Jahlil Okafor","Pelicans",34,"44.1%","Anthony Davis"
"Wesley Matthews","Lakers",30,"60.0%","Anthony Davis"
"Donatas Motiejunas","Pelicans",29,"44.8%","Anthony Davis"
"DeAndre Liggins","Pelicans",28,"71.4%","Anthony Davis"
"Patrick Beverley","Lakers",26,"46.2%","Anthony Davis"
"Emeka Okafor","Pelicans",26,"65.4%","Anthony Davis"
"Kent Bazemore","Lakers",26,"50.0%","Anthony Davis"
"Lou Amundson","Pelicans",26,"46.2%","Anthony Davis"
"Kenrich Williams","Pelicans",25,"44.0%","Anthony Davis"
"Elfrid Payton","Pelicans",24,"50.0%","Anthony Davis"
"Ish Smith","Pelicans",24,"33.3%","Anthony Davis"
"Jordan Crawford","Pelicans",23,"52.2%","Anthony Davis"
"Stanley Johnson","Lakers, Pelicans",23,"26.1%","Anthony Davis"
"Christian Koloko","Lakers",23,"65.2%","Anthony Davis"
"Wayne Ellington","Lakers",22,"40.9%","Anthony Davis"
"DeAndre Jordan","Lakers",22,"54.5%","Anthony Davis"
"Wesley Johnson","Pelicans",22,"50.0%","Anthony Davis"
"Jalen Hood-Schifino","Lakers",22,"54.5%","Anthony Davis"
"Kendrick Nunn","Lakers",21,"42.9%","Anthony Davis"
"Kendrick Perkins","Pelicans",21,"33.3%","Anthony Davis"
"John Salmons","Pelicans",20,"45.0%","Anthony Davis"
