"Player","Team(s)","GP","Win%","name"
"Dwyane Wade","Heat",540,"63.3%","Mario Chalmers"
"Udonis Haslem","Heat",473,"63.0%","Mario Chalmers"
"Joel Anthony","Heat",392,"66.6%","Mario Chalmers"
"Chris Bosh","Heat",391,"69.3%","Mario Chalmers"
"LeBron James","Heat",358,"72.9%","Mario Chalmers"
"Norris Cole","Heat",318,"67.6%","Mario Chalmers"
"James Jones","Heat",303,"68.6%","Mario Chalmers"
"Shane Battier","Heat",259,"71.4%","Mario Chalmers"
"Michael Beasley","Heat",235,"54.9%","Mario Chalmers"
"Chris Andersen","Grizzlies, Heat",209,"66.5%","Mario Chalmers"
"Mike Miller","Heat",187,"71.1%","Mario Chalmers"
"Ray Allen","Heat",184,"72.3%","Mario Chalmers"
"Rashard Lewis","Heat",131,"75.6%","Mario Chalmers"
"Daequan Cook","Heat",119,"52.9%","Mario Chalmers"
"James Ennis","Grizzlies, Heat",113,"40.7%","Mario Chalmers"
"Carlos Arroyo","Heat",111,"66.7%","Mario Chalmers"
"Jamaal Magloire","Heat",109,"58.7%","Mario Chalmers"
"Marc Gasol","Grizzlies",102,"46.1%","Mario Chalmers"
"Jermaine O'Neal","Heat",100,"49.0%","Mario Chalmers"
"Juwan Howard","Heat",99,"75.8%","Mario Chalmers"
"JaMychal Green","Grizzlies",95,"45.3%","Mario Chalmers"
"Luol Deng","Heat",78,"46.2%","Mario Chalmers"
"Dorell Wright","Heat",75,"56.0%","Mario Chalmers"
"Yakhouba Diawara","Heat",74,"52.7%","Mario Chalmers"
"Quentin Richardson","Heat",72,"56.9%","Mario Chalmers"
"Zydrunas Ilgauskas","Heat",71,"76.1%","Mario Chalmers"
"Chris Quinn","Heat",71,"49.3%","Mario Chalmers"
"Jarell Martin","Grizzlies",68,"38.2%","Mario Chalmers"
"Dillon Brooks","Grizzlies",66,"31.8%","Mario Chalmers"
"Mike Conley","Grizzlies",59,"62.7%","Mario Chalmers"
"Hassan Whiteside","Heat",53,"39.6%","Mario Chalmers"
"Eddie House","Heat",51,"70.6%","Mario Chalmers"
"Matt Barnes","Grizzlies",50,"64.0%","Mario Chalmers"
"Andrew Harrison","Grizzlies",50,"32.0%","Mario Chalmers"
"Shabazz Napier","Heat",50,"48.0%","Mario Chalmers"
"Zach Randolph","Grizzlies",48,"64.6%","Mario Chalmers"
"Tyreke Evans","Grizzlies",47,"38.3%","Mario Chalmers"
"Deyonta Davis","Grizzlies",47,"31.9%","Mario Chalmers"
"Vince Carter","Grizzlies",45,"64.4%","Mario Chalmers"
"Erick Dampier","Heat",45,"68.9%","Mario Chalmers"
"Jeff Green","Grizzlies",44,"63.6%","Mario Chalmers"
"Shawne Williams","Heat",44,"43.2%","Mario Chalmers"
"Ben McLemore","Grizzlies",43,"16.3%","Mario Chalmers"
"Shawn Marion","Heat",42,"52.4%","Mario Chalmers"
"Courtney Lee","Grizzlies",42,"61.9%","Mario Chalmers"
"Dexter Pittman","Heat",41,"68.3%","Mario Chalmers"
"Tony Allen","Grizzlies",40,"67.5%","Mario Chalmers"
"Mike Bibby","Heat",36,"66.7%","Mario Chalmers"
"Tyler Johnson","Heat",35,"45.7%","Mario Chalmers"
"Toney Douglas","Heat",34,"55.9%","Mario Chalmers"
"Goran Dragic","Heat",31,"48.4%","Mario Chalmers"
"Terrel Harris","Heat",31,"61.3%","Mario Chalmers"
"Chandler Parsons","Grizzlies",30,"36.7%","Mario Chalmers"
"Danny Granger","Heat",30,"36.7%","Mario Chalmers"
"Jamario Moon","Heat",29,"51.7%","Mario Chalmers"
"Brandan Wright","Grizzlies",29,"41.4%","Mario Chalmers"
"Justin Hamilton","Heat",28,"28.6%","Mario Chalmers"
"Ivan Rabb","Grizzlies",25,"24.0%","Mario Chalmers"
"Ronny Turiaf","Heat",25,"60.0%","Mario Chalmers"
"Wayne Selden","Grizzlies",24,"41.7%","Mario Chalmers"
"Greg Oden","Heat",24,"70.8%","Mario Chalmers"
"Josh McRoberts","Heat",23,"47.8%","Mario Chalmers"
"Henry Walker","Heat",22,"50.0%","Mario Chalmers"
