Date,Team.x,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC,Home/Away,Team.y
2016-04-11,Cavaliers,Hawks,W,Starter,SF,32:25,34,13,16,0.813,3,4,0.75,5,5,1,1,5,6,6,2,1,4,2,28.9,Home,CLE
2016-04-09,Cavaliers,Bulls,L,Starter,SF,38:33,33,13,17,0.765,4,5,0.8,3,4,0.75,3,4,7,3,0,1,4,1,24.3,Away,CLE
2016-04-05,Cavaliers,Bucks,W,Starter,SF,28:04,17,7,9,0.778,1,2,0.5,2,2,1,0,5,5,9,0,1,4,0,19.3,Away,CLE
2016-04-03,Cavaliers,Hornets,W,Starter,SF,40:50,31,14,22,0.636,0,0,0,3,3,1,3,5,8,12,2,0,5,4,27.1,Home,CLE
2016-04-01,Cavaliers,Hawks,W,Starter,SF,44:25,29,12,26,0.462,1,5,0.2,4,5,0.8,3,13,16,9,3,1,3,4,28.4,Away,CLE
2016-03-31,Cavaliers,Nets,W,Starter,SF,30:40,24,8,11,0.727,0,0,0,8,10,0.8,0,4,4,11,2,1,6,0,23,Home,CLE
2016-03-26,Cavaliers,Knicks,W,Starter,SF,35:46,27,10,21,0.476,2,3,0.667,5,6,0.833,3,8,11,11,1,2,2,4,28,Away,CLE
2016-03-24,Cavaliers,Nets,L,Starter,SF,35:04,30,13,16,0.813,1,2,0.5,3,4,0.75,1,5,6,5,1,0,4,2,22.3,Away,CLE
2016-03-23,Cavaliers,Bucks,W,Starter,SF,36:55,26,9,22,0.409,1,4,0.25,7,10,0.7,5,1,6,8,2,1,2,0,20.5,Home,CLE
2016-03-21,Cavaliers,Nuggets,W,Starter,SF,33:26,33,12,19,0.632,1,2,0.5,8,11,0.727,3,8,11,11,0,0,3,2,30.6,Home,CLE
2016-03-19,Cavaliers,Heat,L,Starter,PF,26:38,26,13,20,0.65,0,3,0,0,0,0,0,3,3,3,1,0,3,1,13.8,Away,CLE
2016-03-18,Cavaliers,Magic,W,Starter,SF,35:44,18,6,15,0.4,0,3,0,6,6,1,1,6,7,8,1,1,4,3,14.5,Away,CLE
2016-03-14,Cavaliers,Jazz,L,Starter,SF,36:53,23,10,20,0.5,2,6,0.333,1,2,0.5,6,6,12,3,1,0,3,0,18.8,Away,CLE
2016-03-13,Cavaliers,Clippers,W,Starter,SF,30:43,27,9,15,0.6,3,4,0.75,6,7,0.857,1,5,6,5,1,0,2,2,20.9,Away,CLE
2016-03-10,Cavaliers,Lakers,W,Starter,SF,34:50,24,9,18,0.5,1,4,0.25,5,8,0.625,2,3,5,7,0,2,3,2,16.8,Away,CLE
2016-03-09,Cavaliers,Kings,W,Starter,SF,36:33,25,8,19,0.421,1,5,0.2,8,9,0.889,4,7,11,6,0,0,5,1,17.1,Away,CLE
2016-03-07,Cavaliers,Grizzlies,L,Starter,SF,37:38,28,11,19,0.579,2,4,0.5,4,5,0.8,2,7,9,5,1,0,4,2,20.1,Home,CLE
2016-03-05,Cavaliers,Celtics,W,Starter,SF,36:00,28,11,20,0.55,1,4,0.25,5,9,0.556,4,7,11,8,2,1,4,2,24.9,Home,CLE
2016-03-04,Cavaliers,Wizards,W,Starter,PF,30:23,19,7,18,0.389,1,4,0.25,4,4,1,1,12,13,8,3,0,1,1,23.5,Home,CLE
2016-02-29,Cavaliers,Pacers,W,Starter,SF,36:49,33,14,22,0.636,2,4,0.5,3,5,0.6,0,5,5,4,2,0,5,2,18.4,Home,CLE
2016-02-26,Cavaliers,Raptors,L,Starter,SF,40:29,25,9,18,0.5,2,4,0.5,5,9,0.556,1,7,8,7,1,0,6,2,15.4,Away,CLE
2016-02-24,Cavaliers,Hornets,W,Starter,SF,30:19,23,8,13,0.615,2,4,0.5,5,8,0.625,1,6,7,7,2,0,2,1,22.3,Home,CLE
2016-02-22,Cavaliers,Pistons,L,Starter,SF,37:30,12,5,18,0.278,0,4,0,2,2,1,1,7,8,5,3,0,6,2,5,Home,CLE
2016-02-21,Cavaliers,Thunder,W,Starter,SF,37:30,25,11,22,0.5,2,5,0.4,1,1,1,3,4,7,11,3,0,5,3,21.6,Away,CLE
2016-02-18,Cavaliers,Bulls,W,Starter,SF,34:37,25,11,19,0.579,0,2,0,3,3,1,2,7,9,9,0,1,2,3,23.4,Home,CLE
2016-02-10,Cavaliers,Lakers,W,Starter,SF,36:40,29,12,22,0.545,3,6,0.5,2,5,0.4,1,6,7,11,1,0,1,1,26.6,Home,CLE
2016-02-08,Cavaliers,Kings,W,Starter,SF,30:54,21,8,16,0.5,1,2,0.5,4,5,0.8,1,9,10,10,2,1,4,1,23.4,Home,CLE
2016-02-06,Cavaliers,Pelicans,W,Starter,SF,36:42,27,11,20,0.55,2,5,0.4,3,3,1,0,3,3,8,1,0,2,2,19.1,Home,CLE
2016-02-05,Cavaliers,Celtics,L,Starter,SF,38:05,30,9,23,0.391,0,5,0,12,17,0.706,3,4,7,4,2,1,6,2,12.4,Home,CLE
2016-02-03,Cavaliers,Hornets,L,Starter,SF,39:08,23,10,21,0.476,0,3,0,3,5,0.6,0,6,6,6,1,2,1,1,17.4,Away,CLE
2016-02-01,Cavaliers,Pacers,W,Starter,SF,43:35,24,9,22,0.409,0,5,0,6,10,0.6,2,10,12,6,2,1,1,2,20.3,Away,CLE
2016-01-30,Cavaliers,Spurs,W,Starter,SF,34:09,29,10,17,0.588,0,2,0,9,11,0.818,1,4,5,7,2,2,2,2,24.1,Home,CLE
2016-01-29,Cavaliers,Pistons,W,Starter,SF,35:48,20,7,16,0.438,0,2,0,6,7,0.857,1,8,9,8,1,0,1,3,18.9,Away,CLE
2016-01-27,Cavaliers,Suns,W,Starter,SF,31:01,21,7,8,0.875,0,1,0,7,7,1,0,3,3,9,0,0,2,2,20.6,Home,CLE
2016-01-25,Cavaliers,Timberwolves,W,Starter,SF,38:01,25,11,15,0.733,1,1,1,2,3,0.667,0,4,4,9,1,1,5,2,20.6,Home,CLE
2016-01-23,Cavaliers,Bulls,L,Starter,SF,39:44,26,11,27,0.407,0,5,0,4,7,0.571,3,10,13,9,2,1,1,3,23.1,Home,CLE
2016-01-21,Cavaliers,Clippers,W,Starter,SF,35:11,22,9,17,0.529,1,4,0.25,3,5,0.6,1,4,5,12,0,0,0,4,21.4,Home,CLE
2016-01-20,Cavaliers,Nets,W,Starter,SF,29:03,17,7,12,0.583,1,1,1,2,4,0.5,0,1,1,5,1,1,4,1,9.8,Away,CLE
2016-01-18,Cavaliers,Warriors,L,Starter,SF,32:53,16,7,16,0.438,0,3,0,2,2,1,1,4,5,5,1,1,3,1,10.8,Home,CLE
2016-01-15,Cavaliers,Rockets,W,Starter,SF,36:23,19,7,14,0.5,1,2,0.5,4,6,0.667,2,5,7,7,0,2,4,1,16.5,Away,CLE
2016-01-14,Cavaliers,Spurs,L,Starter,SF,37:20,22,9,17,0.529,1,3,0.333,3,4,0.75,2,5,7,5,0,0,4,4,12.5,Away,CLE
2016-01-12,Cavaliers,Mavericks,W,Starter,SF,41:43,27,9,17,0.529,3,6,0.5,6,8,0.75,3,7,10,7,2,0,4,2,23.5,Away,CLE
2016-01-10,Cavaliers,Sixers,W,Starter,SF,37:00,37,15,22,0.682,3,5,0.6,4,6,0.667,0,7,7,9,2,0,2,1,32,Away,CLE
2016-01-08,Cavaliers,Timberwolves,W,Starter,SF,32:14,13,5,12,0.417,0,4,0,3,4,0.75,0,12,12,8,1,2,3,1,19,Away,CLE
2016-01-06,Cavaliers,Wizards,W,Starter,SF,39:42,34,12,22,0.545,4,9,0.444,6,8,0.75,0,10,10,4,1,1,2,3,24.5,Away,CLE
2016-01-04,Cavaliers,Raptors,W,Starter,SF,30:41,20,7,11,0.636,1,2,0.5,5,8,0.625,0,2,2,7,3,0,2,1,17.8,Home,CLE
2016-01-02,Cavaliers,Magic,W,Starter,SF,29:13,29,11,18,0.611,4,7,0.571,3,4,0.75,0,5,5,3,2,0,0,2,21.8,Home,CLE
2015-12-29,Cavaliers,Nuggets,W,Starter,SF,34:23,34,13,24,0.542,1,3,0.333,7,8,0.875,3,3,6,2,2,1,5,2,17.3,Away,CLE
2015-12-28,Cavaliers,Suns,W,Starter,SF,35:23,14,4,10,0.4,1,5,0.2,5,9,0.556,0,4,4,7,2,1,2,3,12.6,Away,CLE
2015-12-26,Cavaliers,Trail Blazers,L,Starter,SF,26:27,12,4,13,0.308,0,3,0,4,5,0.8,0,4,4,5,0,0,3,2,4.4,Away,CLE
2015-12-25,Cavaliers,Warriors,L,Starter,SF,38:33,25,10,26,0.385,1,5,0.2,4,9,0.444,2,7,9,2,1,2,4,0,10.4,Away,CLE
2015-12-23,Cavaliers,Knicks,W,Starter,SF,37:43,24,9,22,0.409,0,3,0,6,7,0.857,1,8,9,5,0,0,1,2,14.9,Home,CLE
2015-12-20,Cavaliers,Sixers,W,Starter,SF,25:19,23,10,17,0.588,0,3,0,3,4,0.75,0,5,5,4,3,1,2,0,18.5,Home,CLE
2015-12-17,Cavaliers,Thunder,W,Starter,SF,39:37,33,12,27,0.444,2,5,0.4,7,8,0.875,2,7,9,11,2,0,7,2,22,Home,CLE
2015-12-15,Cavaliers,Celtics,W,Starter,SF,35:42,24,10,20,0.5,0,3,0,4,4,1,1,6,7,3,2,1,6,3,11.5,Away,CLE
2015-12-11,Cavaliers,Magic,W,Starter,SF,29:25,25,10,15,0.667,0,1,0,5,8,0.625,0,3,3,8,4,0,4,0,21,Away,CLE
2015-12-08,Cavaliers,Trail Blazers,W,Starter,SF,40:20,33,14,24,0.583,1,3,0.333,4,4,1,1,9,10,3,2,3,2,3,25.8,Home,CLE
2015-12-04,Cavaliers,Pelicans,L,Starter,SF,44:47,37,13,29,0.448,1,5,0.2,10,11,0.909,2,5,7,8,1,1,5,4,19.9,Away,CLE
2015-12-01,Cavaliers,Wizards,L,Starter,SF,37:23,24,8,20,0.4,0,3,0,8,8,1,4,9,13,4,1,1,9,3,12.3,Home,CLE
2015-11-28,Cavaliers,Nets,W,Starter,SF,35:43,26,10,22,0.455,1,6,0.167,5,6,0.833,2,7,9,5,1,0,2,0,18.5,Home,CLE
2015-11-27,Cavaliers,Hornets,W,Starter,SF,38:13,25,8,20,0.4,2,5,0.4,7,9,0.778,2,11,13,5,0,0,3,2,17.9,Away,CLE
2015-11-25,Cavaliers,Raptors,L,Starter,SF,39:46,24,6,16,0.375,1,5,0.2,11,12,0.917,2,4,6,8,0,0,2,1,18,Away,CLE
2015-11-23,Cavaliers,Magic,W,Starter,SF,34:58,15,7,14,0.5,0,2,0,1,5,0.2,0,6,6,13,1,0,2,0,19.1,Home,CLE
