"Player","Team(s)","GP","Win%","name"
"Tristan Thompson","Cavaliers",311,"55.6%","Matthew Dellavedova"
"Kevin Love","Cavaliers",225,"59.1%","Matthew Dellavedova"
"Kyrie Irving","Cavaliers",202,"61.9%","Matthew Dellavedova"
"LeBron James","Cavaliers",164,"74.4%","Matthew Dellavedova"
"J.R. Smith","Cavaliers",155,"72.3%","Matthew Dellavedova"
"Timofey Mozgov","Cavaliers",150,"71.3%","Matthew Dellavedova"
"Tony Snell","Bucks",137,"54.7%","Matthew Dellavedova"
"Giannis Antetokounmpo","Bucks",133,"54.9%","Matthew Dellavedova"
"James Jones","Cavaliers",133,"66.2%","Matthew Dellavedova"
"Iman Shumpert","Cavaliers",127,"74.8%","Matthew Dellavedova"
"Malcolm Brogdon","Bucks",125,"52.8%","Matthew Dellavedova"
"John Henson","Cavaliers, Bucks",124,"45.2%","Matthew Dellavedova"
"Thon Maker","Bucks",115,"56.5%","Matthew Dellavedova"
"Collin Sexton","Cavaliers",103,"29.1%","Matthew Dellavedova"
"Cedi Osman","Cavaliers",95,"28.4%","Matthew Dellavedova"
"Anderson Varejao","Cavaliers",93,"50.5%","Matthew Dellavedova"
"Jason Terry","Bucks",92,"47.8%","Matthew Dellavedova"
"Khris Middleton","Bucks",90,"60.0%","Matthew Dellavedova"
"Richard Jefferson","Cavaliers",88,"71.6%","Matthew Dellavedova"
"Greg Monroe","Bucks",86,"51.2%","Matthew Dellavedova"
"Larry Nance, Jr.","Cavaliers",83,"30.1%","Matthew Dellavedova"
"Dion Waiters","Cavaliers",80,"41.3%","Matthew Dellavedova"
"Mirza Teletovic","Bucks",77,"49.4%","Matthew Dellavedova"
"Jarrett Jack","Cavaliers",70,"40.0%","Matthew Dellavedova"
"Tyler Zeller","Cavaliers, Bucks",68,"39.7%","Matthew Dellavedova"
"Channing Frye","Cavaliers",64,"48.4%","Matthew Dellavedova"
"Darius Garland","Cavaliers",63,"30.2%","Matthew Dellavedova"
"Jordan Clarkson","Cavaliers",62,"27.4%","Matthew Dellavedova"
"Alonzo Gee","Cavaliers",57,"45.6%","Matthew Dellavedova"
"Jabari Parker","Bucks",55,"43.6%","Matthew Dellavedova"
"Michael Beasley","Bucks",55,"41.8%","Matthew Dellavedova"
"Rashad Vaughn","Bucks",55,"49.1%","Matthew Dellavedova"
"Mike Miller","Cavaliers",51,"58.8%","Matthew Dellavedova"
"Spencer Hawes","Cavaliers, Bucks",48,"52.1%","Matthew Dellavedova"
"Ante Zizic","Cavaliers",48,"22.9%","Matthew Dellavedova"
"Shawn Marion","Cavaliers",48,"64.6%","Matthew Dellavedova"
"Joe Harris","Cavaliers",48,"64.6%","Matthew Dellavedova"
"Mo Williams","Cavaliers",47,"70.2%","Matthew Dellavedova"
"Eric Bledsoe","Bucks",45,"66.7%","Matthew Dellavedova"
"Anthony Bennett","Cavaliers",44,"38.6%","Matthew Dellavedova"
"Kevin Porter, Jr.","Cavaliers",43,"30.2%","Matthew Dellavedova"
"C.J. Miles","Cavaliers",41,"41.5%","Matthew Dellavedova"
"Luol Deng","Cavaliers",38,"47.4%","Matthew Dellavedova"
"Sterling Brown","Bucks",38,"63.2%","Matthew Dellavedova"
"Jared Cunningham","Cavaliers",36,"77.8%","Matthew Dellavedova"
"Earl Clark","Cavaliers",35,"34.3%","Matthew Dellavedova"
"Alfonzo McKinnie","Cavaliers",33,"27.3%","Matthew Dellavedova"
"Domantas Sabonis","Kings",32,"59.4%","Matthew Dellavedova"
"Harrison Barnes","Kings",32,"59.4%","Matthew Dellavedova"
"Keegan Murray","Kings",31,"58.1%","Matthew Dellavedova"
"Davion Mitchell","Kings",31,"58.1%","Matthew Dellavedova"
"Malik Monk","Kings",30,"63.3%","Matthew Dellavedova"
"Miles Plumlee","Bucks",30,"46.7%","Matthew Dellavedova"
"Terence Davis","Kings",29,"58.6%","Matthew Dellavedova"
"Trey Lyles","Kings",28,"57.1%","Matthew Dellavedova"
"Kevin Huerter","Kings",27,"59.3%","Matthew Dellavedova"
"Chimezie Metu","Kings",27,"59.3%","Matthew Dellavedova"
"Alec Burks","Cavaliers",25,"20.0%","Matthew Dellavedova"
"Kendrick Perkins","Cavaliers",25,"76.0%","Matthew Dellavedova"
"De'Aaron Fox","Kings",24,"62.5%","Matthew Dellavedova"
"Sasha Kaun","Cavaliers",24,"70.8%","Matthew Dellavedova"
"Brandon Knight","Cavaliers",23,"34.8%","Matthew Dellavedova"
"Jaron Blossomgame","Cavaliers",23,"13.0%","Matthew Dellavedova"
"Dean Wade","Cavaliers",21,"19.0%","Matthew Dellavedova"
"Richaun Holmes","Kings",21,"61.9%","Matthew Dellavedova"
"Sergey Karasev","Cavaliers",20,"35.0%","Matthew Dellavedova"
"Brendan Haywood","Cavaliers",20,"65.0%","Matthew Dellavedova"
"David Nwaba","Cavaliers",19,"36.8%","Matthew Dellavedova"
"Rodney Hood","Cavaliers",18,"27.8%","Matthew Dellavedova"
"Andrew Bynum","Cavaliers",18,"33.3%","Matthew Dellavedova"
"Dante Exum","Cavaliers",18,"16.7%","Matthew Dellavedova"
"Henry Sims","Cavaliers",18,"38.9%","Matthew Dellavedova"
"KZ Okpala","Kings",18,"61.1%","Matthew Dellavedova"
"Jordan McRae","Cavaliers",17,"70.6%","Matthew Dellavedova"
"Dahntay Jones","Cavaliers",16,"68.8%","Matthew Dellavedova"
"DeAndre Liggins","Bucks",16,"50.0%","Matthew Dellavedova"
"Sean Kilpatrick","Bucks",15,"53.3%","Matthew Dellavedova"
"Alex Len","Kings",14,"78.6%","Matthew Dellavedova"
"Isaac Okoro","Cavaliers",13,"30.8%","Matthew Dellavedova"
"Isaiah Hartenstein","Cavaliers",13,"30.8%","Matthew Dellavedova"
"Brook Lopez","Bucks",12,"83.3%","Matthew Dellavedova"
"Pat Connaughton","Bucks",12,"83.3%","Matthew Dellavedova"
"Deng Adel","Cavaliers",12,"25.0%","Matthew Dellavedova"
"D.J. Wilson","Bucks",12,"50.0%","Matthew Dellavedova"
"Taurean Prince","Cavaliers",11,"36.4%","Matthew Dellavedova"
"Marquese Chriss","Cavaliers",11,"45.5%","Matthew Dellavedova"
"Keon Ellis","Kings",11,"54.5%","Matthew Dellavedova"
"Jalen Jones","Cavaliers",10,"10.0%","Matthew Dellavedova"
"A.J. Price","Cavaliers",10,"30.0%","Matthew Dellavedova"
