"Player","Team(s)","GP","Win%","name"
"Jared Dudley","Suns",237,"57.0%","Channing Frye"
"Steve Nash","Suns",228,"58.3%","Channing Frye"
"Goran Dragic","Suns",219,"59.8%","Channing Frye"
"Grant Hill","Suns",219,"58.0%","Channing Frye"
"Robin Lopez","Suns",180,"54.4%","Channing Frye"
"Tristan Thompson","Cavaliers",164,"56.7%","Channing Frye"
"LeBron James","Cavaliers",160,"67.5%","Channing Frye"
"Kevin Love","Cavaliers",145,"64.1%","Channing Frye"
"Travis Outlaw","Trail Blazers",144,"55.6%","Channing Frye"
"Markieff Morris","Suns",142,"54.9%","Channing Frye"
"Steve Blake","Trail Blazers",140,"55.0%","Channing Frye"
"Joel Przybilla","Trail Blazers",140,"55.0%","Channing Frye"
"LaMarcus Aldridge","Trail Blazers",138,"53.6%","Channing Frye"
"Brandon Roy","Trail Blazers",135,"57.8%","Channing Frye"
"J.R. Smith","Cavaliers",134,"62.7%","Channing Frye"
"Sergio Rodriguez","Trail Blazers",132,"55.3%","Channing Frye"
"Iman Shumpert","Cavaliers",129,"65.1%","Channing Frye"
"James Jones","Cavaliers, Trail Blazers",128,"60.2%","Channing Frye"
"Eddy Curry","Knicks",126,"34.9%","Channing Frye"
"Jason Richardson","Suns",119,"62.2%","Channing Frye"
"Stephon Marbury","Knicks",118,"38.1%","Channing Frye"
"Richard Jefferson","Cavaliers",118,"61.9%","Channing Frye"
"Kyrie Irving","Cavaliers",116,"65.5%","Channing Frye"
"Elfrid Payton","Magic",115,"36.5%","Channing Frye"
"Marcin Gortat","Suns",114,"51.8%","Channing Frye"
"Malik Rose","Knicks",112,"33.0%","Channing Frye"
"Jamal Crawford","Knicks",111,"35.1%","Channing Frye"
"Nikola Vucevic","Magic",109,"34.9%","Channing Frye"
"Nate Robinson","Knicks",109,"33.0%","Channing Frye"
"Hakim Warrick","Suns",108,"49.1%","Channing Frye"
"Victor Oladipo","Magic",106,"36.8%","Channing Frye"
"Tobias Harris","Magic",105,"34.3%","Channing Frye"
"Evan Fournier","Magic",100,"39.0%","Channing Frye"
"David Lee","Knicks",99,"39.4%","Channing Frye"
"Amar'e Stoudemire","Suns",97,"66.0%","Channing Frye"
"Lou Amundson","Suns",94,"67.0%","Channing Frye"
"Quentin Richardson","Knicks",92,"30.4%","Channing Frye"
"Kyle Korver","Cavaliers",91,"59.3%","Channing Frye"
"Aaron Gordon","Magic",83,"37.3%","Channing Frye"
"Gerald Green","Suns",82,"58.5%","Channing Frye"
"Marcus Morris","Suns",82,"58.5%","Channing Frye"
"P.J. Tucker","Suns",81,"59.3%","Channing Frye"
"Josh Childress","Suns",81,"46.9%","Channing Frye"
"Leandro Barbosa","Suns",80,"67.5%","Channing Frye"
"Miles Plumlee","Suns",80,"58.8%","Channing Frye"
"Jarrett Jack","Trail Blazers",78,"51.3%","Channing Frye"
"Dewayne Dedmon","Magic",78,"32.1%","Channing Frye"
"Martell Webster","Trail Blazers",71,"52.1%","Channing Frye"
"Jerome James","Knicks",71,"35.2%","Channing Frye"
"Ish Smith","Suns",70,"55.7%","Channing Frye"
"Cedi Osman","Cavaliers",68,"39.7%","Channing Frye"
"Andrew Nicholson","Magic",68,"41.2%","Channing Frye"
"Nicolas Batum","Trail Blazers",65,"60.0%","Channing Frye"
"Matt Dellavedova","Cavaliers",64,"48.4%","Channing Frye"
"Rudy Fernandez","Trail Blazers",63,"60.3%","Channing Frye"
"Earl Clark","Suns",63,"66.7%","Channing Frye"
"Renaldo Balkman","Knicks",59,"40.7%","Channing Frye"
"Sebastian Telfair","Suns",58,"53.4%","Channing Frye"
"Shannon Brown","Suns",57,"50.9%","Channing Frye"
"DeAndre Liggins","Cavaliers",55,"61.8%","Channing Frye"
"Ben Gordon","Magic",54,"31.5%","Channing Frye"
"Archie Goodwin","Suns",52,"61.5%","Channing Frye"
"Jared Jeffries","Knicks",52,"38.5%","Channing Frye"
"Steve Francis","Knicks",51,"33.3%","Channing Frye"
"Mo Taylor","Knicks",50,"26.0%","Channing Frye"
"Michael Redd","Suns",49,"51.0%","Channing Frye"
"Jordan McRae","Cavaliers",49,"69.4%","Channing Frye"
"Kyle O'Quinn","Magic",47,"31.9%","Channing Frye"
"Vince Carter","Suns",46,"52.2%","Channing Frye"
"Greg Oden","Trail Blazers",46,"56.5%","Channing Frye"
"Willie Green","Magic",45,"28.9%","Channing Frye"
"Mardy Collins","Knicks",45,"35.6%","Channing Frye"
"Jeff Green","Cavaliers",44,"61.4%","Channing Frye"
"Jae Crowder","Cavaliers",44,"61.4%","Channing Frye"
"Luke Ridnour","Magic",44,"29.5%","Channing Frye"
"Jarron Collins","Suns",44,"72.7%","Channing Frye"
"Eric Bledsoe","Suns",43,"65.1%","Channing Frye"
"Jerryd Bayless","Trail Blazers",42,"61.9%","Channing Frye"
"Alex Len","Suns",42,"57.1%","Channing Frye"
"Mario Hezonja","Magic",41,"43.9%","Channing Frye"
"Maurice Harkless","Magic",41,"19.5%","Channing Frye"
"Jason Smith","Magic",40,"45.0%","Channing Frye"
"Jackie Butler","Knicks",40,"30.0%","Channing Frye"
"Dwyane Wade","Cavaliers",38,"57.9%","Channing Frye"
"Shabazz Napier","Magic",38,"47.4%","Channing Frye"
"Kay Felder","Cavaliers",38,"57.9%","Channing Frye"
"Collin Sexton","Cavaliers",36,"19.4%","Channing Frye"
"Jordan Clarkson","Cavaliers",35,"17.1%","Channing Frye"
"Deron Williams","Cavaliers",35,"57.1%","Channing Frye"
"Qyntel Woods","Knicks",35,"28.6%","Channing Frye"
"Ante Zizic","Cavaliers",35,"34.3%","Channing Frye"
"Antonio Davis","Knicks",35,"37.1%","Channing Frye"
"Trevor Ariza","Knicks",35,"28.6%","Channing Frye"
"Ronnie Price","Suns",35,"40.0%","Channing Frye"
"Raef LaFrentz","Trail Blazers",35,"48.6%","Channing Frye"
"Mickael Pietrus","Suns",33,"54.5%","Channing Frye"
"Timofey Mozgov","Cavaliers",33,"57.6%","Channing Frye"
"Jose Calderon","Cavaliers",33,"54.5%","Channing Frye"
"Derrick Williams","Cavaliers",31,"51.6%","Channing Frye"
"Dionte Christmas","Suns",31,"48.4%","Channing Frye"
"Larry Nance, Jr.","Cavaliers",28,"17.9%","Channing Frye"
"Hedo Turkoglu","Suns",25,"48.0%","Channing Frye"
"Shavlik Randolph","Suns, Trail Blazers",24,"62.5%","Channing Frye"
"Alec Burks","Cavaliers",23,"13.0%","Channing Frye"
"Dahntay Jones","Cavaliers",23,"69.6%","Channing Frye"
"Devyn Marble","Magic",23,"39.1%","Channing Frye"
"Zabian Dowdell","Suns",21,"66.7%","Channing Frye"
"Jalen Rose","Knicks",20,"25.0%","Channing Frye"
"Aaron Brooks","Suns",20,"45.0%","Channing Frye"
"Viacheslav Kravtsov","Suns",20,"65.0%","Channing Frye"
"Rodney Hood","Cavaliers",19,"21.1%","Channing Frye"
"Garret Siler","Suns",19,"52.6%","Channing Frye"
"Jaron Blossomgame","Cavaliers",18,"11.1%","Channing Frye"
"David Nwaba","Cavaliers",17,"35.3%","Channing Frye"
"Mike Dunleavy","Cavaliers",17,"82.4%","Channing Frye"
"Mo Williams","Cavaliers",17,"70.6%","Channing Frye"
"Ike Diogu","Trail Blazers",16,"62.5%","Channing Frye"
"Kelvin Cato","Knicks",16,"50.0%","Channing Frye"
"Isaiah Thomas","Cavaliers, Lakers",13,"38.5%","Channing Frye"
"Jalen Jones","Cavaliers",13,"7.7%","Channing Frye"
"Derrick Rose","Cavaliers",12,"50.0%","Channing Frye"
"Earl Barron","Suns",12,"50.0%","Channing Frye"
"Sasha Kaun","Cavaliers",12,"58.3%","Channing Frye"
"Michael Ruffin","Trail Blazers",12,"75.0%","Channing Frye"
"Alando Tucker","Suns",11,"45.5%","Channing Frye"
"Deng Adel","Cavaliers",11,"27.3%","Channing Frye"
"Julius Randle","Lakers",9,"11.1%","Channing Frye"
"Kentavious Caldwell-Pope","Lakers",9,"11.1%","Channing Frye"
"Brandon Knight","Cavaliers",9,"33.3%","Channing Frye"
"Brook Lopez","Lakers",9,"11.1%","Channing Frye"
"Tyler Ennis","Lakers",9,"11.1%","Channing Frye"
"Marquese Chriss","Cavaliers",9,"33.3%","Channing Frye"
"Ivica Zubac","Lakers",9,"11.1%","Channing Frye"
"Josh Hart","Lakers",8,"12.5%","Channing Frye"
"Von Wafer","Trail Blazers",8,"50.0%","Channing Frye"
"Taurean Green","Trail Blazers",8,"25.0%","Channing Frye"
"Chris Andersen","Cavaliers",8,"62.5%","Channing Frye"
"Josh McRoberts","Trail Blazers",8,"37.5%","Channing Frye"
"Taylor Griffin","Suns",8,"75.0%","Channing Frye"
"Kyle Kuzma","Lakers",7,"14.3%","Channing Frye"
"Nik Stauskas","Cavaliers",7,"42.9%","Channing Frye"
"Alex Caruso","Lakers",7,"14.3%","Channing Frye"
"Cameron Payne","Cavaliers",6,"0.0%","Channing Frye"
"Matt Barnes","Knicks",5,"40.0%","Channing Frye"
"Gary Payton II","Lakers",5,"0.0%","Channing Frye"
"Thomas Bryant","Lakers",5,"0.0%","Channing Frye"
"Randolph Morris","Knicks",5,"20.0%","Channing Frye"
"Larry Sanders","Cavaliers",5,"40.0%","Channing Frye"
"Penny Hardaway","Knicks",4,"25.0%","Channing Frye"
"Travis Wear","Lakers",4,"0.0%","Channing Frye"
"Keith Appling","Magic",4,"0.0%","Channing Frye"
"Dwayne Jones","Suns",4,"100.0%","Channing Frye"
"John Holland","Cavaliers",4,"100.0%","Channing Frye"
"George Hill","Cavaliers",3,"0.0%","Channing Frye"
"C.J. Watson","Magic",3,"33.3%","Channing Frye"
"Andrew Harrison","Cavaliers",3,"33.3%","Channing Frye"
"Patrick McCaw","Cavaliers",3,"0.0%","Channing Frye"
"Brandon Ingram","Lakers",2,"0.0%","Channing Frye"
"Andre Ingram","Lakers",1,"0.0%","Channing Frye"
"Lonzo Ball","Lakers",1,"0.0%","Channing Frye"
"Corey Brewer","Lakers",1,"0.0%","Channing Frye"
"Edy Tavares","Cavaliers",1,"0.0%","Channing Frye"
"Andrew Bogut","Cavaliers",1,"0.0%","Channing Frye"
"Gani Lawal","Suns",1,"100.0%","Channing Frye"
"London Perrantes","Cavaliers",1,"100.0%","Channing Frye"
