Date,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC
4/9/2023,Lakers,Jazz,W,Starter,SF,33:14,36,13,25,0.52,8,14,0.571,2,2,1,1,5,6,6,1,1,2,0,27.3
4/7/2023,Lakers,Suns,W,Starter,SF,29:21,16,6,19,0.316,3,7,0.429,1,2,0.5,0,6,6,6,0,0,5,1,6.0
4/5/2023,Lakers,Clippers,L,Starter,SF,35:06,33,13,20,0.65,4,6,0.667,3,5,0.6,0,8,8,7,1,1,6,0,25.1
4/4/2023,Lakers,Jazz,W,Starter,SF,38:28,37,14,27,0.519,3,10,0.3,6,6,1,0,5,5,6,1,1,5,2,20.3
4/2/2023,Lakers,Rockets,W,Starter,SF,29:21,18,8,18,0.444,1,7,0.143,1,1,1,2,8,10,11,0,1,1,1,22.6
3/31/2023,Lakers,Timberwolves,W,Starter,SF,32:29,18,7,19,0.368,1,3,0.333,3,4,0.75,1,9,10,6,1,2,3,1,15.5
3/29/2023,Lakers,Bulls,W,Starter,SF,31:16,25,10,19,0.526,1,3,0.333,4,4,1,3,5,8,4,2,0,4,2,17.0
3/26/2023,Lakers,Bulls,L,Bench,PF,29:32,19,6,11,0.545,0,2,0,7,8,0.875,1,7,8,3,0,0,5,2,11.0
2/26/2023,Lakers,Mavericks,W,Starter,SF,36:51,26,10,23,0.435,1,6,0.167,5,7,0.714,3,5,8,3,1,1,3,4,12.9
2/23/2023,Lakers,Warriors,W,Starter,SF,26:19,13,5,20,0.25,2,6,0.333,1,2,0.5,3,6,9,8,0,0,2,2,9.8
2/15/2023,Lakers,Pelicans,W,Starter,SF,29:13,21,7,14,0.5,0,5,0,7,10,0.7,0,6,6,6,0,1,4,1,13.8
2/7/2023,Lakers,Thunder,L,Starter,SF,33:57,38,13,20,0.65,4,6,0.667,8,10,0.8,0,7,7,3,3,0,4,3,25.0
2/4/2023,Lakers,Pelicans,L,Starter,SF,39:37,27,10,22,0.455,1,7,0.143,6,9,0.667,0,9,9,6,0,0,2,2,16.9
2/2/2023,Lakers,Pacers,W,Starter,SF,32:58,26,11,19,0.579,2,5,0.4,2,2,1,2,5,7,7,0,0,3,1,20.3
1/31/2023,Lakers,Knicks,W,Starter,SF,42:56,28,11,25,0.44,2,8,0.25,4,7,0.571,1,9,10,11,1,0,5,2,20.4
1/28/2023,Lakers,Celtics,L,Starter,PF,44:13,41,15,30,0.5,6,12,0.5,5,6,0.833,1,8,9,8,0,0,2,2,28.3
1/25/2023,Lakers,Spurs,W,Starter,PF,35:19,20,8,20,0.4,1,6,0.167,3,4,0.75,1,8,9,11,0,0,6,0,15.5
1/24/2023,Lakers,Clippers,L,Starter,PF,32:35,46,16,29,0.552,9,14,0.643,5,5,1,1,7,8,7,2,1,0,0,38.6
1/22/2023,Lakers,Trail Blazers,W,Starter,PF,35:56,37,14,24,0.583,2,7,0.286,7,10,0.7,0,11,11,4,0,2,4,2,24.5
1/20/2023,Lakers,Grizzlies,W,Starter,PF,36:32,23,8,21,0.381,1,5,0.2,6,7,0.857,2,7,9,6,2,2,3,4,16.9
1/18/2023,Lakers,Kings,L,Starter,PF,36:30,32,11,25,0.44,2,9,0.222,8,9,0.889,0,8,8,9,1,1,1,0,25.9
1/16/2023,Lakers,Rockets,W,Starter,PF,35:51,48,16,26,0.615,5,10,0.5,11,12,0.917,1,7,8,9,0,0,0,1,38.8
1/15/2023,Lakers,Sixers,L,Starter,SF,35:18,35,15,23,0.652,1,5,0.2,4,5,0.8,0,8,8,10,1,1,3,1,30.4
1/12/2023,Lakers,Mavericks,L,Starter,SF,46:45,24,9,28,0.321,0,7,0,6,10,0.6,6,10,16,9,2,0,3,0,20.8
1/7/2023,Lakers,Kings,W,Starter,SF,37:43,37,14,28,0.5,1,6,0.167,8,9,0.889,1,7,8,7,1,0,4,2,21.9
1/6/2023,Lakers,Hawks,W,Starter,SF,32:47,25,10,19,0.526,1,5,0.2,4,6,0.667,0,7,7,10,0,0,5,0,18.8
1/2/2023,Lakers,Hornets,W,Starter,PF,39:33,43,16,26,0.615,0,5,0,11,15,0.733,0,11,11,6,1,0,3,1,29.6
12/30/2022,Lakers,Hawks,W,Starter,PF,39:39,47,18,27,0.667,4,6,0.667,7,9,0.778,2,8,10,9,0,1,5,0,36.4
12/28/2022,Lakers,Heat,L,Starter,PF,33:47,27,10,18,0.556,2,5,0.4,5,5,1,0,9,9,6,0,0,6,4,16.4
12/27/2022,Lakers,Magic,W,Starter,PF,31:10,28,12,24,0.5,0,7,0,4,5,0.8,2,5,7,5,1,1,4,1,16.4
12/25/2022,Lakers,Mavericks,L,Starter,PF,34:20,38,13,23,0.565,0,4,0,12,12,1,0,6,6,5,0,0,2,2,22.8
