"Player","Team(s)","GP","Win%","name"
"Kawhi Leonard","Spurs, Raptors",551,"73.5%","Danny Green"
"Tony Parker","Spurs",519,"71.7%","Danny Green"
"Manu Ginobili","Spurs",497,"71.0%","Danny Green"
"Patty Mills","Spurs",486,"71.4%","Danny Green"
"Tim Duncan","Spurs",406,"73.6%","Danny Green"
"Boris Diaw","Spurs",382,"75.1%","Danny Green"
"Matt Bonner","Spurs",354,"72.0%","Danny Green"
"Tiago Splitter","Spurs",318,"70.4%","Danny Green"
"Kyle Anderson","Spurs",260,"68.5%","Danny Green"
"LaMarcus Aldridge","Spurs",229,"69.4%","Danny Green"
"Cory Joseph","Spurs",229,"72.1%","Danny Green"
"Gary Neal","Spurs",169,"71.0%","Danny Green"
"Dwight Howard","Lakers, Sixers",160,"71.3%","Danny Green"
"Marco Belinelli","Spurs",157,"72.0%","Danny Green"
"DeJuan Blair","Spurs",155,"72.3%","Danny Green"
"Aron Baynes","Spurs",149,"74.5%","Danny Green"
"Tobias Harris","Sixers",140,"65.0%","Danny Green"
"Pau Gasol","Spurs",139,"61.9%","Danny Green"
"Davis Bertans","Spurs",139,"61.2%","Danny Green"
"Tyrese Maxey","Sixers",135,"60.7%","Danny Green"
"Jonathon Simmons","Spurs",134,"78.4%","Danny Green"
"Matisse Thybulle","Sixers",134,"65.7%","Danny Green"
"Jeff Ayres","Spurs",129,"72.1%","Danny Green"
"Shake Milton","Sixers",125,"65.6%","Danny Green"
"Joel Embiid","Sixers",120,"68.3%","Danny Green"
"Furkan Korkmaz","Sixers",118,"65.3%","Danny Green"
"Dejounte Murray","Spurs",118,"60.2%","Danny Green"
"LeBron James","Cavaliers, Lakers",104,"77.9%","Danny Green"
"Pascal Siakam","Raptors",102,"69.6%","Danny Green"
"Bryn Forbes","Spurs",102,"55.9%","Danny Green"
"Serge Ibaka","Raptors",97,"70.1%","Danny Green"
"Nando De Colo","Spurs",95,"74.7%","Danny Green"
"Seth Curry","Sixers",94,"63.8%","Danny Green"
"Kentavious Caldwell-Pope","Lakers",90,"75.6%","Danny Green"
"Stephen Jackson","Spurs",90,"75.6%","Danny Green"
"Kyle Lowry","Raptors",88,"70.5%","Danny Green"
"Isaiah Joe","Sixers",88,"56.8%","Danny Green"
"Fred VanVleet","Raptors",86,"69.8%","Danny Green"
"David West","Spurs",85,"78.8%","Danny Green"
"Alex Caruso","Lakers",84,"77.4%","Danny Green"
"Anthony Davis","Lakers",83,"75.9%","Danny Green"
"JaVale McGee","Lakers",82,"76.8%","Danny Green"
"Kyle Kuzma","Lakers",81,"76.5%","Danny Green"
"Norman Powell","Raptors",81,"71.6%","Danny Green"
"David Lee","Spurs",81,"70.4%","Danny Green"
"Dewayne Dedmon","Spurs",74,"68.9%","Danny Green"
"James Anderson","Spurs",71,"78.9%","Danny Green"
"Georges Niang","Sixers",69,"58.0%","Danny Green"
"Paul Reed, Jr.","Sixers",69,"58.0%","Danny Green"
"OG Anunoby","Raptors",65,"67.7%","Danny Green"
"Ben Simmons","Sixers",64,"71.9%","Danny Green"
"Rajon Rondo","Lakers",62,"77.4%","Danny Green"
"Boban Marjanovic","Spurs",58,"84.5%","Danny Green"
"Rudy Gay","Spurs",55,"58.2%","Danny Green"
"Mike Scott","Sixers",54,"68.5%","Danny Green"
"Brandon Paul","Spurs",54,"59.3%","Danny Green"
"Jared Dudley","Lakers",54,"70.4%","Danny Green"
"Richard Jefferson","Spurs",53,"64.2%","Danny Green"
"Marc Gasol","Raptors",50,"68.0%","Danny Green"
"Quinn Cook","Lakers",50,"76.0%","Danny Green"
"Joffrey Lauvergne","Spurs",48,"54.2%","Danny Green"
"Avery Bradley","Lakers",47,"74.5%","Danny Green"
"Delon Wright","Raptors",47,"68.1%","Danny Green"
"Rasual Butler","Spurs",45,"88.9%","Danny Green"
"C.J. Miles","Raptors",39,"69.2%","Danny Green"
"Troy Daniels","Lakers",39,"76.9%","Danny Green"
"Patrick McCaw","Raptors",37,"67.6%","Danny Green"
"Greg Monroe","Raptors",36,"66.7%","Danny Green"
"Austin Daye","Spurs",36,"63.9%","Danny Green"
"Markieff Morris","Lakers",35,"71.4%","Danny Green"
