"Player","Team(s)","GP","Win%","name"
"Jason Kidd","Nets",504,"58.1%","Richard Jefferson"
"Jason Collins","Nets",502,"56.0%","Richard Jefferson"
"Aaron Williams","Nets",299,"58.5%","Richard Jefferson"
"Kerry Kittles","Nets",275,"59.6%","Richard Jefferson"
"Lucious Harris","Nets",266,"61.7%","Richard Jefferson"
"Kenyon Martin","Nets",261,"62.5%","Richard Jefferson"
"Vince Carter","Nets",241,"52.7%","Richard Jefferson"
"DeJuan Blair","Spurs",216,"65.3%","Richard Jefferson"
"Tim Duncan","Spurs",207,"67.1%","Richard Jefferson"
"Brian Scalabrine","Nets",205,"60.5%","Richard Jefferson"
"Tony Parker","Spurs",187,"67.4%","Richard Jefferson"
"Matt Bonner","Spurs",186,"64.5%","Richard Jefferson"
"Nenad Krstic","Nets",184,"47.8%","Richard Jefferson"
"Tristan Thompson","Cavaliers",184,"67.9%","Richard Jefferson"
"Manu Ginobili","Spurs",182,"66.5%","Richard Jefferson"
"LeBron James","Cavaliers",174,"71.8%","Richard Jefferson"
"George Hill","Spurs",168,"64.3%","Richard Jefferson"
"Rodney Rogers","Nets",168,"61.3%","Richard Jefferson"
"Antonio McDyess","Spurs",164,"63.4%","Richard Jefferson"
"Kevin Love","Cavaliers",161,"68.9%","Richard Jefferson"
"Iman Shumpert","Cavaliers",153,"68.0%","Richard Jefferson"
"Kyrie Irving","Cavaliers",150,"68.7%","Richard Jefferson"
"Bostjan Nachbar","Nets",148,"50.0%","Richard Jefferson"
"J.R. Smith","Cavaliers",143,"67.1%","Richard Jefferson"
"Charlie Villanueva","Mavericks, Bucks",140,"49.3%","Richard Jefferson"
"Antoine Wright","Nets",137,"51.8%","Richard Jefferson"
"Anthony Johnson","Nets",134,"63.4%","Richard Jefferson"
"Zoran Planinic","Nets",129,"54.3%","Richard Jefferson"
"Josh Boone","Nets",122,"49.2%","Richard Jefferson"
"Gary Neal","Spurs",121,"70.2%","Richard Jefferson"
"Channing Frye","Cavaliers",118,"61.9%","Richard Jefferson"
"Jacque Vaughn","Nets",118,"54.2%","Richard Jefferson"
"Marcus D. Williams","Nets",117,"47.9%","Richard Jefferson"
"Cliff Robinson","Nets",116,"62.1%","Richard Jefferson"
"Keith Bogans","Bucks, Spurs",115,"53.0%","Richard Jefferson"
"Brandon Armstrong","Nets",113,"62.8%","Richard Jefferson"
"James Jones","Cavaliers",108,"65.7%","Richard Jefferson"
"Tiago Splitter","Spurs",101,"69.3%","Richard Jefferson"
"Devin Harris","Mavericks, Nuggets, Nets",100,"54.0%","Richard Jefferson"
"Keith Van Horn","Nets",98,"62.2%","Richard Jefferson"
"Malik Allen","Bucks, Nets",97,"40.2%","Richard Jefferson"
"Matt Dellavedova","Cavaliers",88,"71.6%","Richard Jefferson"
"Klay Thompson","Warriors",85,"45.9%","Richard Jefferson"
"Roger Mason","Spurs",84,"58.3%","Richard Jefferson"
"Luc Mbah a Moute","Bucks",82,"41.5%","Richard Jefferson"
"Timofey Mozgov","Cavaliers",81,"69.1%","Richard Jefferson"
"Enes Freedom","Jazz",80,"28.8%","Richard Jefferson"
"Ramon Sessions","Bucks",79,"40.5%","Richard Jefferson"
"Todd MacCulloch","Nets",79,"65.8%","Richard Jefferson"
"Alec Burks","Jazz",78,"30.8%","Richard Jefferson"
"Gordon Hayward","Jazz",77,"29.9%","Richard Jefferson"
"Monta Ellis","Mavericks",76,"61.8%","Richard Jefferson"
"Mikki Moore","Warriors, Nets",74,"54.1%","Richard Jefferson"
"Dirk Nowitzki","Mavericks",73,"60.3%","Richard Jefferson"
"Derrick Favors","Jazz",73,"34.2%","Richard Jefferson"
"J.J. Barea","Mavericks",73,"63.0%","Richard Jefferson"
"Sean Williams","Nets",73,"38.4%","Richard Jefferson"
"David Lee","Warriors",72,"47.2%","Richard Jefferson"
"Luke Ridnour","Bucks",72,"40.3%","Richard Jefferson"
"Tyson Chandler","Mavericks",71,"62.0%","Richard Jefferson"
"Al-Farouq Aminu","Mavericks",71,"59.2%","Richard Jefferson"
"Diante Garrett","Jazz",71,"32.4%","Richard Jefferson"
"Trey Burke","Jazz",70,"34.3%","Richard Jefferson"
"Andrew Bogut","Cavaliers, Warriors, Bucks",70,"54.3%","Richard Jefferson"
"Charlie Bell","Bucks",70,"41.4%","Richard Jefferson"
"Tamar Slay","Nets",69,"71.0%","Richard Jefferson"
"Dan Gadzuric","Bucks",67,"37.3%","Richard Jefferson"
"Marvin Williams","Jazz",66,"36.4%","Richard Jefferson"
"Jeremy Evans","Jazz",66,"34.8%","Richard Jefferson"
"Lamond Murray","Nets",64,"65.6%","Richard Jefferson"
"Carl Landry","Warriors",62,"53.2%","Richard Jefferson"
"Harrison Barnes","Warriors",62,"53.2%","Richard Jefferson"
"Brandon Rush","Warriors, Jazz",62,"30.6%","Richard Jefferson"
"Draymond Green","Warriors",61,"52.5%","Richard Jefferson"
"Scott Padgett","Nets",61,"62.3%","Richard Jefferson"
"Stephen Curry","Warriors",60,"53.3%","Richard Jefferson"
"Jarrett Jack","Warriors",60,"56.7%","Richard Jefferson"
"Chandler Parsons","Mavericks",59,"62.7%","Richard Jefferson"
"Joe Alexander","Bucks",59,"39.0%","Richard Jefferson"
"Francisco Elson","Bucks",59,"37.3%","Richard Jefferson"
"Festus Ezeli","Warriors",59,"52.5%","Richard Jefferson"
"DeAndre Liggins","Cavaliers",58,"65.5%","Richard Jefferson"
"James Anderson","Spurs",57,"66.7%","Richard Jefferson"
"Andris Biedrins","Warriors, Jazz",54,"37.0%","Richard Jefferson"
"Danny Green","Spurs",53,"64.2%","Richard Jefferson"
"Jordan McRae","Cavaliers",52,"69.2%","Richard Jefferson"
"Mo Williams","Cavaliers",50,"70.0%","Richard Jefferson"
"Charles Jenkins","Warriors",50,"36.0%","Richard Jefferson"
"Darrell Armstrong","Nets",50,"44.0%","Richard Jefferson"
"Kent Bazemore","Warriors",50,"54.0%","Richard Jefferson"
"Kyle Korver","Cavaliers",48,"54.2%","Richard Jefferson"
"Hassan Adams","Nets",47,"57.4%","Richard Jefferson"
"Malik Hairston","Spurs",47,"74.5%","Richard Jefferson"
"Rajon Rondo","Mavericks",45,"55.6%","Richard Jefferson"
"Rudy Gobert","Jazz",45,"15.6%","Richard Jefferson"
"John Lucas","Jazz",42,"23.8%","Richard Jefferson"
"Chris Quinn","Spurs",41,"80.5%","Richard Jefferson"
"Kawhi Leonard","Spurs",40,"70.0%","Richard Jefferson"
"Kay Felder","Cavaliers",39,"61.5%","Richard Jefferson"
"Jared Cunningham","Cavaliers",39,"76.9%","Richard Jefferson"
"Greg Smith","Mavericks",39,"64.1%","Richard Jefferson"
"Eddie House","Nets",38,"55.3%","Richard Jefferson"
"Deron Williams","Cavaliers",36,"50.0%","Richard Jefferson"
"Rodney Buford","Nets",35,"31.4%","Richard Jefferson"
"Dikembe Mutombo","Nets",34,"58.8%","Richard Jefferson"
"Jeremy Tyler","Warriors",34,"32.4%","Richard Jefferson"
"Marc Jackson","Nets",34,"55.9%","Richard Jefferson"
"Michael Redd","Bucks",33,"51.5%","Richard Jefferson"
"Travis Best","Nets",32,"31.3%","Richard Jefferson"
"Raymond Felton","Mavericks",31,"48.4%","Richard Jefferson"
"Anderson Varejao","Cavaliers",31,"71.0%","Richard Jefferson"
"Alonzo Mourning","Nets",30,"33.3%","Richard Jefferson"
"Derrick Williams","Cavaliers",30,"46.7%","Richard Jefferson"
"Tyronn Lue","Bucks",30,"40.0%","Richard Jefferson"
"Donny Marshall","Nets",30,"56.7%","Richard Jefferson"
"Ian Mahinmi","Spurs",28,"60.7%","Richard Jefferson"
"DeSagana Diop","Nets",27,"37.0%","Richard Jefferson"
"Cory Joseph","Spurs",27,"70.4%","Richard Jefferson"
"Jeff McInnis","Nets",26,"57.7%","Richard Jefferson"
"Robert Pack","Nets",26,"65.4%","Richard Jefferson"
"Trenton Hassell","Nets",26,"34.6%","Richard Jefferson"
"Amar'e Stoudemire","Mavericks",25,"48.0%","Richard Jefferson"
"Michael Finley","Spurs",25,"52.0%","Richard Jefferson"
"Dahntay Jones","Cavaliers",25,"68.0%","Richard Jefferson"
"Steve Novak","Spurs",24,"58.3%","Richard Jefferson"
"Dwight Powell","Mavericks",24,"41.7%","Richard Jefferson"
"Jamaal Magloire","Nets",24,"41.7%","Richard Jefferson"
"Sasha Kaun","Cavaliers",24,"70.8%","Richard Jefferson"
"Mike Dunleavy","Cavaliers",23,"82.6%","Richard Jefferson"
"Ian Clark","Jazz",23,"13.0%","Richard Jefferson"
"Brandan Wright","Mavericks",22,"72.7%","Richard Jefferson"
"Dominic McGuire","Warriors",22,"22.7%","Richard Jefferson"
"Garrett Temple","Spurs",22,"54.5%","Richard Jefferson"
"Derrick Dial","Nets",22,"68.2%","Richard Jefferson"
"Eric Williams","Nets",21,"33.3%","Richard Jefferson"
"Stromile Swift","Nets",21,"42.9%","Richard Jefferson"
"Theo Ratliff","Spurs",21,"71.4%","Richard Jefferson"
"Will Barton","Nuggets",20,"50.0%","Richard Jefferson"
"Mike Harris","Jazz",20,"5.0%","Richard Jefferson"
"Jae Crowder","Mavericks",20,"75.0%","Richard Jefferson"
"Ime Udoka","Spurs",20,"80.0%","Richard Jefferson"
"Jamal Murray","Nuggets",19,"52.6%","Richard Jefferson"
"Trey Lyles","Nuggets",19,"47.4%","Richard Jefferson"
"Dorell Wright","Warriors",19,"21.1%","Richard Jefferson"
"Mason Plumlee","Nuggets",19,"52.6%","Richard Jefferson"
"Jameer Nelson","Mavericks",19,"68.4%","Richard Jefferson"
"Eddie Gill","Bucks, Nets",19,"47.4%","Richard Jefferson"
"Nikola Jokic","Nuggets",18,"50.0%","Richard Jefferson"
"Damon Jones","Bucks",18,"33.3%","Richard Jefferson"
"Gary Harris","Nuggets",17,"47.1%","Richard Jefferson"
"Wilson Chandler","Nuggets",17,"47.1%","Richard Jefferson"
"Malik Beasley","Nuggets",17,"47.1%","Richard Jefferson"
"Bernard James","Mavericks",16,"37.5%","Richard Jefferson"
"Nate Robinson","Warriors",15,"26.7%","Richard Jefferson"
"Mickell Gladness","Warriors",15,"26.7%","Richard Jefferson"
"Emmanuel Mudiay","Nuggets",14,"42.9%","Richard Jefferson"
"T.J. Ford","Spurs",14,"57.1%","Richard Jefferson"
"Maurice Ager","Nets",14,"42.9%","Richard Jefferson"
"Malcolm Thomas","Warriors, Spurs, Jazz",14,"35.7%","Richard Jefferson"
