"Player","Team(s)","GP","Win%","name"
"Carmelo Anthony","Nuggets, Knicks",535,"57.8%","J.R. Smith"
"Iman Shumpert","Cavaliers, Knicks",371,"62.8%","J.R. Smith"
"LeBron James","Cavaliers, Lakers",325,"68.9%","J.R. Smith"
"Nene Hilario","Nuggets",316,"59.8%","J.R. Smith"
"Kenyon Martin","Nuggets, Knicks",314,"59.6%","J.R. Smith"
"Chris Andersen","Cavaliers, Nuggets, Pelicans",308,"52.9%","J.R. Smith"
"Tristan Thompson","Cavaliers",298,"63.8%","J.R. Smith"
"Kevin Love","Cavaliers",270,"67.0%","J.R. Smith"
"Linas Kleiza","Nuggets",234,"59.8%","J.R. Smith"
"Anthony Carter","Nuggets",226,"60.6%","J.R. Smith"
"Chauncey Billups","Nuggets",212,"63.7%","J.R. Smith"
"Kyrie Irving","Cavaliers",182,"73.1%","J.R. Smith"
"Pablo Prigioni","Knicks",168,"52.4%","J.R. Smith"
"Raymond Felton","Nuggets, Knicks",162,"60.5%","J.R. Smith"
"Tyson Chandler","Knicks",162,"56.2%","J.R. Smith"
"Marcus Camby","Nuggets, Knicks",162,"58.0%","J.R. Smith"
"Timofey Mozgov","Cavaliers, Nuggets",158,"71.5%","J.R. Smith"
"Matt Dellavedova","Cavaliers",155,"72.3%","J.R. Smith"
"Arron Afflalo","Nuggets",150,"60.0%","J.R. Smith"
"Ty Lawson","Nuggets",146,"60.3%","J.R. Smith"
"Richard Jefferson","Cavaliers",143,"67.1%","J.R. Smith"
"James Jones","Cavaliers",141,"68.8%","J.R. Smith"
"Amar'e Stoudemire","Knicks",138,"42.0%","J.R. Smith"
"Channing Frye","Cavaliers",134,"62.7%","J.R. Smith"
"Eduardo Najera","Nuggets",134,"56.7%","J.R. Smith"
"Kyle Korver","Cavaliers",129,"54.3%","J.R. Smith"
"Steve Novak","Knicks",127,"62.2%","J.R. Smith"
"P.J. Brown","Pelicans",126,"31.0%","J.R. Smith"
"Dahntay Jones","Cavaliers, Nuggets",120,"66.7%","J.R. Smith"
"Allen Iverson","Nuggets",117,"56.4%","J.R. Smith"
"Jeff Green","Cavaliers",98,"59.2%","J.R. Smith"
"Yakhouba Diawara","Nuggets",98,"58.2%","J.R. Smith"
"Tim Hardaway Jr.","Knicks",96,"39.6%","J.R. Smith"
"Jason Kidd","Knicks",86,"64.0%","J.R. Smith"
"Cedi Osman","Cavaliers",82,"47.6%","J.R. Smith"
"Jose Calderon","Cavaliers, Knicks",81,"46.9%","J.R. Smith"
"David West","Pelicans",78,"33.3%","J.R. Smith"
"Johan Petro","Nuggets",77,"67.5%","J.R. Smith"
"Al Harrington","Nuggets",75,"60.0%","J.R. Smith"
"Renaldo Balkman","Nuggets",74,"71.6%","J.R. Smith"
"Bostjan Nachbar","Pelicans",70,"35.7%","J.R. Smith"
"Speedy Claxton","Pelicans",67,"44.8%","J.R. Smith"
"Jackson Vroman","Pelicans",66,"30.3%","J.R. Smith"
"Lee Nailon","Pelicans",64,"21.9%","J.R. Smith"
"Dan Dickau","Pelicans",63,"27.0%","J.R. Smith"
"Chris Copeland","Knicks",63,"66.7%","J.R. Smith"
"Gary Forbes","Nuggets",61,"62.3%","J.R. Smith"
"Joey Graham","Nuggets",61,"65.6%","J.R. Smith"
"Cole Aldrich","Knicks",59,"47.5%","J.R. Smith"
"James White","Knicks",59,"74.6%","J.R. Smith"
"Jordan Clarkson","Cavaliers",57,"54.4%","J.R. Smith"
"Chris Paul","Pelicans",54,"44.4%","J.R. Smith"
"Rasual Butler","Pelicans",53,"41.5%","J.R. Smith"
"Larry Nance, Jr.","Cavaliers",53,"49.1%","J.R. Smith"
"Jae Crowder","Cavaliers",52,"57.7%","J.R. Smith"
"Reggie Evans","Nuggets",52,"61.5%","J.R. Smith"
"Baron Davis","Pelicans, Knicks",51,"39.2%","J.R. Smith"
"Mo Williams","Cavaliers",50,"66.0%","J.R. Smith"
"Ante Zizic","Cavaliers",49,"49.0%","J.R. Smith"
"Malik Allen","Nuggets",49,"69.4%","J.R. Smith"
"George Hill","Cavaliers",48,"52.1%","J.R. Smith"
"Rodney Hood","Cavaliers",48,"43.8%","J.R. Smith"
"Toure' Murry","Knicks",47,"51.1%","J.R. Smith"
"Ronnie Brewer","Knicks",46,"67.4%","J.R. Smith"
"Dwyane Wade","Cavaliers",45,"55.6%","J.R. Smith"
"Desmond Mason","Pelicans",45,"42.2%","J.R. Smith"
"Steve Blake","Nuggets",44,"59.1%","J.R. Smith"
"Casey Jacobsen","Pelicans",44,"27.3%","J.R. Smith"
"Kirk Snyder","Pelicans",41,"34.1%","J.R. Smith"
"Landry Fields","Knicks",40,"55.0%","J.R. Smith"
"Shelden Williams","Nuggets",40,"70.0%","J.R. Smith"
"George Lynch","Pelicans",39,"20.5%","J.R. Smith"
"Jeremy Tyler","Knicks",39,"51.3%","J.R. Smith"
"Kurt Thomas","Knicks",39,"51.3%","J.R. Smith"
"Deron Williams","Cavaliers",38,"57.9%","J.R. Smith"
"Andrea Bargnani","Knicks",37,"32.4%","J.R. Smith"
"Jared Cunningham","Cavaliers",36,"75.0%","J.R. Smith"
"Chucky Atkins","Nuggets",35,"60.0%","J.R. Smith"
"Mike Miller","Cavaliers",34,"67.6%","J.R. Smith"
"Rodney Rogers","Pelicans",30,"30.0%","J.R. Smith"
"Joe Harris","Cavaliers",30,"76.7%","J.R. Smith"
"Jordan McRae","Cavaliers",28,"75.0%","J.R. Smith"
"Anderson Varejao","Cavaliers",28,"67.9%","J.R. Smith"
"Melvin Ely","Nuggets",28,"60.7%","J.R. Smith"
"Beno Udrih","Knicks",27,"37.0%","J.R. Smith"
"Shawn Marion","Cavaliers",27,"77.8%","J.R. Smith"
"DeAndre Liggins","Cavaliers",27,"70.4%","J.R. Smith"
"Wilson Chandler","Nuggets",26,"57.7%","J.R. Smith"
"DerMarr Johnson","Nuggets",26,"69.2%","J.R. Smith"
"Josh Harrellson","Knicks",25,"52.0%","J.R. Smith"
"Jason Smith","Knicks",24,"16.7%","J.R. Smith"
"Metta World Peace","Knicks",24,"33.3%","J.R. Smith"
"Kendrick Perkins","Cavaliers",24,"75.0%","J.R. Smith"
"John Holland","Cavaliers",24,"70.8%","J.R. Smith"
"Junior Harrington","Pelicans",23,"17.4%","J.R. Smith"
"Mike Bibby","Knicks",23,"65.2%","J.R. Smith"
"Jared Jeffries","Knicks",23,"56.5%","J.R. Smith"
"Maciej Lampe","Pelicans",23,"4.3%","J.R. Smith"
"Brandon Bass","Pelicans",23,"47.8%","J.R. Smith"
"Sasha Kaun","Cavaliers",23,"73.9%","J.R. Smith"
"Andre Miller","Nuggets",22,"59.1%","J.R. Smith"
"Jamaal Magloire","Pelicans",22,"22.7%","J.R. Smith"
"Derrick Williams","Cavaliers",22,"50.0%","J.R. Smith"
"Earl Boykins","Nuggets",21,"52.4%","J.R. Smith"
