"Player","Team(s)","GP","Win%","name"
"Paul Millsap","Hawks, Jazz",473,"61.7%","Kyle Korver"
"Ronnie Brewer","Bulls, Jazz",328,"68.3%","Kyle Korver"
"Jeff Teague","Hawks",323,"58.5%","Kyle Korver"
"Samuel Dalembert","Sixers",316,"44.0%","Kyle Korver"
"Carlos Boozer","Bulls, Jazz",309,"68.6%","Kyle Korver"
"Mike Scott","Hawks",281,"57.7%","Kyle Korver"
"Al Horford","Hawks",276,"61.6%","Kyle Korver"
"Andre Iguodala","Sixers",267,"46.1%","Kyle Korver"
"Dennis Schroder","Hawks",247,"60.7%","Kyle Korver"
"Deron Williams","Cavaliers, Jazz",223,"61.9%","Kyle Korver"
"John Salmons","Sixers",211,"45.0%","Kyle Korver"
"Willie Green","Sixers",210,"39.5%","Kyle Korver"
"Allen Iverson","Sixers",205,"46.8%","Kyle Korver"
"Thabo Sefolosha","Hawks, Jazz",201,"62.2%","Kyle Korver"
"Lou Williams","Hawks, Sixers",200,"45.0%","Kyle Korver"
"Kent Bazemore","Hawks",195,"61.0%","Kyle Korver"
"Mehmet Okur","Jazz",178,"65.7%","Kyle Korver"
"C.J. Miles","Jazz",177,"61.6%","Kyle Korver"
"Shelvin Mack","Hawks",171,"57.3%","Kyle Korver"
"Omer Asik","Bulls",168,"72.6%","Kyle Korver"
"Taj Gibson","Bulls",164,"72.0%","Kyle Korver"
"Ronnie Price","Jazz",162,"64.8%","Kyle Korver"
"Luol Deng","Bulls",158,"72.8%","Kyle Korver"
"Andrei Kirilenko","Jazz",157,"65.0%","Kyle Korver"
"Mike Muscala","Hawks",157,"59.2%","Kyle Korver"
"Derrick Rose","Bulls, Cavaliers",153,"73.9%","Kyle Korver"
"C.J. Watson","Bulls",152,"71.1%","Kyle Korver"
"DeMarre Carroll","Hawks",151,"64.9%","Kyle Korver"
"Kevin Ollie","Sixers",149,"43.0%","Kyle Korver"
"LeBron James","Cavaliers",144,"59.0%","Kyle Korver"
"Aaron McKie","Sixers",140,"43.6%","Kyle Korver"
"Steven Hunter","Sixers",132,"46.2%","Kyle Korver"
"Joakim Noah","Bulls",130,"71.5%","Kyle Korver"
"Tristan Thompson","Cavaliers",130,"49.2%","Kyle Korver"
"J.R. Smith","Cavaliers",129,"54.3%","Kyle Korver"
"Wesley Matthews","Bucks, Jazz",127,"67.7%","Kyle Korver"
"Matt Harpring","Jazz",126,"61.9%","Kyle Korver"
"Pero Antic","Hawks",120,"65.0%","Kyle Korver"
"Chris Webber","Sixers",117,"43.6%","Kyle Korver"
"Kevin Love","Cavaliers",117,"56.4%","Kyle Korver"
"Kenny Thomas","Sixers",113,"41.6%","Kyle Korver"
"Jae Crowder","Cavaliers, Jazz",110,"60.9%","Kyle Korver"
"Marc Jackson","Sixers",105,"48.6%","Kyle Korver"
"George Hill","Cavaliers, Bucks",103,"60.2%","Kyle Korver"
"Elton Brand","Hawks",103,"59.2%","Kyle Korver"
"Keith Bogans","Bulls",98,"72.4%","Kyle Korver"
"Jeff Green","Cavaliers",92,"57.6%","Kyle Korver"
"John Jenkins","Hawks",92,"53.3%","Kyle Korver"
"Tim Hardaway Jr.","Hawks",91,"53.8%","Kyle Korver"
"Channing Frye","Cavaliers",91,"59.3%","Kyle Korver"
"Cedi Osman","Cavaliers",87,"47.1%","Kyle Korver"
"Rodney Carney","Sixers",81,"38.3%","Kyle Korver"
"Josh Smith","Hawks",76,"51.3%","Kyle Korver"
"Andre Miller","Sixers",76,"47.4%","Kyle Korver"
"Brevin Knight","Jazz",76,"56.6%","Kyle Korver"
"Eric Snow","Sixers",74,"37.8%","Kyle Korver"
"Kosta Koufos","Jazz",73,"61.6%","Kyle Korver"
"Shavlik Randolph","Sixers",72,"40.3%","Kyle Korver"
"Jarron Collins","Jazz",72,"66.7%","Kyle Korver"
"Ivan Johnson","Hawks",69,"50.7%","Kyle Korver"
