"Player","Team(s)","GP","Win%","name"
"Tristan Thompson","Cavaliers",425,"55.5%","Kyrie Irving"
"LeBron James","Cavaliers",235,"72.8%","Kyrie Irving"
"Kevin Love","Cavaliers",215,"69.8%","Kyrie Irving"
"Matt Dellavedova","Cavaliers",202,"61.9%","Kyrie Irving"
"Iman Shumpert","Cavaliers, Nets",201,"73.1%","Kyrie Irving"
"J.R. Smith","Cavaliers",182,"73.1%","Kyrie Irving"
"Joe Harris","Cavaliers, Nets",163,"62.6%","Kyrie Irving"
"Alonzo Gee","Cavaliers",163,"36.2%","Kyrie Irving"
"Richard Jefferson","Cavaliers",150,"68.7%","Kyrie Irving"
"James Jones","Cavaliers",148,"69.6%","Kyrie Irving"
"Dion Waiters","Cavaliers",137,"40.1%","Kyrie Irving"
"Jayson Tatum","Celtics",134,"61.9%","Kyrie Irving"
"Terry Rozier","Celtics",134,"61.2%","Kyrie Irving"
"Anderson Varejao","Cavaliers",126,"43.7%","Kyrie Irving"
"Jaylen Brown","Celtics",122,"58.2%","Kyrie Irving"
"Al Horford","Celtics",120,"60.8%","Kyrie Irving"
"Marcus Smart","Celtics",119,"61.3%","Kyrie Irving"
"Jaden Hardy","Mavericks",119,"58.8%","Kyrie Irving"
"Timofey Mozgov","Cavaliers",118,"74.6%","Kyrie Irving"
"Channing Frye","Cavaliers",116,"65.5%","Kyrie Irving"
"Daniel Theis","Celtics",116,"61.2%","Kyrie Irving"
"Tyler Zeller","Cavaliers",113,"36.3%","Kyrie Irving"
"Aron Baynes","Celtics",112,"64.3%","Kyrie Irving"
"Marcus Morris","Celtics",111,"58.6%","Kyrie Irving"
"Luka Doncic","Mavericks",109,"59.6%","Kyrie Irving"
"Dwight Powell","Mavericks",105,"59.0%","Kyrie Irving"
"Nicolas Claxton","Nets",103,"57.3%","Kyrie Irving"
"Semi Ojeleye","Celtics",100,"67.0%","Kyrie Irving"
"C.J. Miles","Cavaliers",93,"37.6%","Kyrie Irving"
"Daniel Gafford","Mavericks",92,"63.0%","Kyrie Irving"
"Tim Hardaway Jr.","Mavericks",89,"61.8%","Kyrie Irving"
"Bruce Brown, Jr.","Nets",89,"60.7%","Kyrie Irving"
"Kevin Durant","Nets",88,"61.4%","Kyrie Irving"
"P.J. Washington","Mavericks",88,"65.9%","Kyrie Irving"
"Dereck Lively II","Mavericks",85,"64.7%","Kyrie Irving"
"Josh Green","Mavericks",85,"55.3%","Kyrie Irving"
"Maxi Kleber","Mavericks",83,"59.0%","Kyrie Irving"
"Derrick Jones","Mavericks",79,"64.6%","Kyrie Irving"
"Omri Casspi","Cavaliers",79,"31.6%","Kyrie Irving"
"Spencer Dinwiddie","Mavericks, Nets",71,"52.1%","Kyrie Irving"
"Jarrett Jack","Cavaliers",70,"38.6%","Kyrie Irving"
"Dante Exum","Mavericks",70,"60.0%","Kyrie Irving"
"Gordon Hayward","Celtics",69,"56.5%","Kyrie Irving"
"Olivier-Maxence Prosper","Mavericks",68,"61.8%","Kyrie Irving"
"Seth Curry","Mavericks, Nets",66,"62.1%","Kyrie Irving"
"Kessler Edwards","Mavericks, Nets",65,"47.7%","Kyrie Irving"
"DeAndre Jordan","Nets",58,"58.6%","Kyrie Irving"
"Daniel Gibson","Cavaliers",58,"37.9%","Kyrie Irving"
"Shawn Marion","Cavaliers",56,"67.9%","Kyrie Irving"
"Landry Shamet","Nets",55,"63.6%","Kyrie Irving"
"Patty Mills","Nets",54,"44.4%","Kyrie Irving"
"Guerschon Yabusele","Celtics",54,"68.5%","Kyrie Irving"
