"Player","Team(s)","GP","Win%"
"Zydrunas Ilgauskas","Cavaliers, Heat",641,"62.7%"
"Anderson Varejao","Cavaliers",498,"65.7%"
"James Jones","Cavaliers, Heat",401,"74.1%"
"Dwyane Wade","Cavaliers, Heat",371,"69.5%"
"Mario Chalmers","Heat",358,"72.9%"
"Chris Bosh","Heat",356,"72.2%"
"Tristan Thompson","Cavaliers, Lakers",353,"67.4%"
"Sasha Pavlovic","Cavaliers",330,"62.1%"
"J.R. Smith","Cavaliers, Lakers",325,"68.9%"
"Kevin Love","Cavaliers",315,"69.5%"
"Drew Gooden","Cavaliers",310,"58.4%"
"Anthony Davis","Lakers",302,"62.6%"
"Daniel Gibson","Cavaliers",286,"68.2%"
"Eric Snow","Cavaliers",284,"57.4%"
"Norris Cole","Heat",272,"72.8%"
"Udonis Haslem","Heat",258,"71.3%"
"Shane Battier","Heat",257,"72.4%"
"Joel Anthony","Heat",252,"73.8%"
"Austin Reaves","Lakers",241,"57.3%"
"Kyrie Irving","Cavaliers",235,"72.8%"
"Mike Miller","Cavaliers, Heat",235,"71.9%"
"Ira Newble","Cavaliers",229,"53.3%"
"Iman Shumpert","Cavaliers",224,"73.7%"
"Damon Jones","Cavaliers",224,"58.5%"
"Mo Williams","Cavaliers",222,"75.7%"
"Donyell Marshall","Cavaliers",197,"58.9%"
"Kentavious Caldwell-Pope","Lakers",190,"65.3%"
"Ray Allen","Heat",185,"71.9%"
"Kyle Kuzma","Lakers",184,"66.3%"
"Delonte West","Cavaliers",181,"71.8%"
"Richard Jefferson","Cavaliers",174,"71.8%"
"Larry Hughes","Cavaliers",165,"61.2%"
"Matt Dellavedova","Cavaliers",164,"74.4%"
"Channing Frye","Cavaliers",160,"67.5%"
"Chris Andersen","Cavaliers, Heat",153,"76.5%"
"Rui Hachimura","Lakers",152,"60.5%"
"J.J. Hickson","Cavaliers",148,"77.0%"
"Kyle Korver","Cavaliers",144,"59.0%"
"Timofey Mozgov","Cavaliers",144,"75.0%"
"Max Christie","Lakers",139,"56.1%"
"Rashard Lewis","Heat",136,"75.0%"
"Alex Caruso","Lakers",135,"67.4%"
"JaVale McGee","Lakers",131,"66.4%"
"D'Angelo Russell","Lakers",123,"59.3%"
"Wally Szczerbiak","Cavaliers",122,"72.1%"
"Dwight Howard","Lakers",121,"64.5%"
"Jaxson Hayes","Lakers",117,"61.5%"
"Dennis Schroder","Lakers",106,"63.2%"
"Jeff McInnis","Cavaliers",104,"54.8%"
"Rajon Rondo","Lakers",104,"61.5%"
"Danny Green","Cavaliers, Lakers",104,"77.9%"
"Ben Wallace","Cavaliers",104,"71.2%"
"Juwan Howard","Heat",103,"77.7%"
"Jeff Green","Cavaliers",100,"59.0%"
"Russell Westbrook","Lakers",97,"47.4%"
