"Player","Team(s)","GP","Win%","name"
"Tristan Thompson","Cavaliers",364,"60.2%","Kevin Love"
"LeBron James","Cavaliers",315,"69.5%","Kevin Love"
"J.R. Smith","Cavaliers",270,"67.0%","Kevin Love"
"Cedi Osman","Cavaliers",247,"44.1%","Kevin Love"
"Matt Dellavedova","Cavaliers",225,"59.1%","Kevin Love"
"Kyrie Irving","Cavaliers",215,"69.8%","Kevin Love"
"Corey Brewer","Timberwolves",208,"32.7%","Kevin Love"
"Iman Shumpert","Cavaliers",192,"72.9%","Kevin Love"
"Nikola Pekovic","Timberwolves",164,"41.5%","Kevin Love"
"Darius Garland","Cavaliers",162,"40.7%","Kevin Love"
"Richard Jefferson","Cavaliers",161,"68.9%","Kevin Love"
"Wayne Ellington","Timberwolves",154,"28.6%","Kevin Love"
"James Jones","Cavaliers",150,"66.7%","Kevin Love"
"Ricky Rubio","Cavaliers, Timberwolves",149,"51.7%","Kevin Love"
"Channing Frye","Cavaliers",145,"64.1%","Kevin Love"
"Ryan Gomes","Timberwolves",135,"24.4%","Kevin Love"
"Isaac Okoro","Cavaliers",130,"47.7%","Kevin Love"
"Luke Ridnour","Timberwolves",129,"34.9%","Kevin Love"
"Timofey Mozgov","Cavaliers",127,"72.4%","Kevin Love"
"Wesley Johnson","Timberwolves",124,"33.1%","Kevin Love"
"J.J. Barea","Timberwolves",123,"49.6%","Kevin Love"
"Mike Miller","Cavaliers, Timberwolves",118,"43.2%","Kevin Love"
"Bam Adebayo","Heat",117,"55.6%","Kevin Love"
"Kyle Korver","Cavaliers",117,"56.4%","Kevin Love"
"Darko Milicic","Timberwolves",115,"27.0%","Kevin Love"
"Sebastian Telfair","Timberwolves",111,"30.6%","Kevin Love"
"Al Jefferson","Timberwolves",106,"27.4%","Kevin Love"
"Collin Sexton","Cavaliers",105,"30.5%","Kevin Love"
"Duncan Robinson","Heat",105,"53.3%","Kevin Love"
"Jarrett Allen","Cavaliers",104,"52.9%","Kevin Love"
"Jonny Flynn","Timberwolves",104,"21.2%","Kevin Love"
"Larry Nance, Jr.","Cavaliers",104,"37.5%","Kevin Love"
"Evan Mobley","Cavaliers",102,"54.9%","Kevin Love"
"Michael Beasley","Timberwolves",100,"31.0%","Kevin Love"
"Lamar Stevens","Cavaliers",100,"52.0%","Kevin Love"
"Derrick Williams","Cavaliers, Timberwolves",98,"48.0%","Kevin Love"
"Haywood Highsmith","Heat",97,"53.6%","Kevin Love"
"Anthony Tolliver","Timberwolves",96,"28.1%","Kevin Love"
"Dante Cunningham","Timberwolves",94,"50.0%","Kevin Love"
"Caleb Martin","Heat",92,"55.4%","Kevin Love"
"Jimmy Butler III","Heat",91,"56.0%","Kevin Love"
"Dean Wade","Cavaliers",90,"42.2%","Kevin Love"
"Tyler Herro","Heat",85,"52.9%","Kevin Love"
"Jeff Green","Cavaliers",79,"59.5%","Kevin Love"
"Jaime Jaquez, Jr.","Heat",77,"55.8%","Kevin Love"
"Alexey Shved","Timberwolves",77,"48.1%","Kevin Love"
"Jordan Clarkson","Cavaliers",76,"44.7%","Kevin Love"
"Brian Cardinal","Timberwolves",76,"30.3%","Kevin Love"
"Craig Smith","Timberwolves",74,"29.7%","Kevin Love"
"Martell Webster","Timberwolves",74,"31.1%","Kevin Love"
"Randy Foye","Timberwolves",70,"27.1%","Kevin Love"
"Kevin Martin","Timberwolves",66,"48.5%","Kevin Love"
"Rodney Carney","Timberwolves",66,"28.8%","Kevin Love"
"Lauri Markkanen","Cavaliers",62,"50.0%","Kevin Love"
"Caris LeVert","Cavaliers",61,"50.8%","Kevin Love"
"Ante Zizic","Cavaliers",61,"37.7%","Kevin Love"
"Kyle Lowry","Heat",60,"58.3%","Kevin Love"
"Ramon Sessions","Timberwolves",60,"20.0%","Kevin Love"
"Anderson Varejao","Cavaliers",59,"64.4%","Kevin Love"
"Damien Wilkins","Timberwolves",59,"18.6%","Kevin Love"
"Jose Calderon","Cavaliers",56,"53.6%","Kevin Love"
"Gorgui Dieng","Timberwolves",55,"56.4%","Kevin Love"
"Shawn Marion","Cavaliers",54,"66.7%","Kevin Love"
"Mo Williams","Cavaliers",52,"67.3%","Kevin Love"
"Ryan Hollins","Timberwolves",52,"19.2%","Kevin Love"
"Joe Harris","Cavaliers",52,"67.3%","Kevin Love"
"Nikola Jovic","Heat",51,"52.9%","Kevin Love"
"Sasha Pavlovic","Timberwolves",50,"18.0%","Kevin Love"
"Luc Mbah a Moute","Timberwolves",50,"54.0%","Kevin Love"
"Kevin Ollie","Timberwolves",49,"20.4%","Kevin Love"
