"Player","Team(s)","GP","Win%","name"
"Mike Dunleavy","Warriors, Pacers",471,"41.8%","Mo Williams"
"Jason Richardson","Warriors",330,"40.6%","Mo Williams"
"Adonal Foyle","Warriors",325,"38.5%","Mo Williams"
"Danny Granger","Pacers",232,"38.4%","Mo Williams"
"Jeff Foster","Pacers",186,"38.2%","Mo Williams"
"Derek Fisher","Warriors, Lakers",176,"46.0%","Mo Williams"
"Erick Dampier","Warriors",174,"37.9%","Mo Williams"
"Antawn Jamison","Warriors",161,"36.0%","Mo Williams"
"Mickael Pietrus","Warriors",149,"41.6%","Mo Williams"
"Brandon Rush","Pacers",138,"38.4%","Mo Williams"
"Ike Diogu","Warriors, Pacers",137,"35.0%","Mo Williams"
"Roy Hibbert","Pacers",133,"36.8%","Mo Williams"
"Bob Sura","Warriors",130,"36.9%","Mo Williams"
"Marquis Daniels","Pacers",128,"46.1%","Mo Williams"
"Gilbert Arenas","Warriors",126,"37.3%","Mo Williams"
"Andris Biedrins","Warriors",117,"46.2%","Mo Williams"
"Travis Diener","Pacers",111,"42.3%","Mo Williams"
"Josh McRoberts","Pacers, Lakers",111,"45.9%","Mo Williams"
"Calbert Cheaney","Warriors",108,"39.8%","Mo Williams"
"T.J. Ford","Pacers",106,"35.8%","Mo Williams"
"Baron Davis","Warriors",100,"48.0%","Mo Williams"
"Danny Fortson","Warriors",94,"27.7%","Mo Williams"
"Shawne Williams","Pacers",94,"38.3%","Mo Williams"
"Chris Mills","Warriors",87,"32.2%","Mo Williams"
"Matt Barnes","Warriors, Lakers",84,"51.2%","Mo Williams"
"Zarko Cabarkapa","Warriors",83,"41.0%","Mo Williams"
"Dahntay Jones","Mavericks, Pacers",80,"33.8%","Mo Williams"
"Jermaine O'Neal","Celtics, Pacers",77,"41.6%","Mo Williams"
"Stephen Graham","Pacers, Nets",75,"38.7%","Mo Williams"
"Jarrett Jack","Pacers",73,"42.5%","Mo Williams"
"Larry Hughes","Warriors",73,"23.3%","Mo Williams"
"Earl Watson","Pacers",69,"34.8%","Mo Williams"
"Cliff Robinson","Warriors",66,"36.4%","Mo Williams"
"Jamaal Tinsley","Pacers",65,"35.4%","Mo Williams"
"Earl Boykins","Warriors",65,"50.8%","Mo Williams"
"Monta Ellis","Warriors",64,"32.8%","Mo Williams"
"Kareem Rush","Pacers",64,"42.2%","Mo Williams"
"Pau Gasol","Lakers",62,"54.8%","Mo Williams"
"Rasho Nesterovic","Pacers",61,"41.0%","Mo Williams"
"David Harrison","Pacers",61,"41.0%","Mo Williams"
"Metta World Peace","Lakers",60,"55.0%","Mo Williams"
