GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020400006,48,2544,LeBron James,1610612739,Cleveland Cavaliers,1,5,25,Made Shot,Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,10,1,1,20041103,CLE,IND
Shot Chart Detail,0020400006,57,2544,LeBron James,1610612739,Cleveland Cavaliers,1,4,14,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-154,-18,1,1,20041103,CLE,IND
Shot Chart Detail,0020400006,59,2544,LeBron James,1610612739,Cleveland Cavaliers,1,3,35,Made Shot,Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,7,1,1,20041103,CLE,IND
Shot Chart Detail,0020400006,346,2544,LeBron James,1610612739,Cleveland Cavaliers,3,0,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-115,215,1,1,20041103,CLE,IND
Shot Chart Detail,0020400006,402,2544,LeBron James,1610612739,Cleveland Cavaliers,4,6,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20041103,CLE,IND
Shot Chart Detail,0020400006,473,2544,LeBron James,1610612739,Cleveland Cavaliers,4,0,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,146,199,1,1,20041103,CLE,IND
Shot Chart Detail,0020400006,543,2544,LeBron James,1610612739,Cleveland Cavaliers,6,4,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,5,1,1,20041103,CLE,IND
Shot Chart Detail,0020400006,561,2544,LeBron James,1610612739,Cleveland Cavaliers,6,2,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,171,130,1,1,20041103,CLE,IND
Shot Chart Detail,0020400018,61,2544,LeBron James,1610612739,Cleveland Cavaliers,1,4,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041104,MIA,CLE
Shot Chart Detail,0020400018,64,2544,LeBron James,1610612739,Cleveland Cavaliers,1,4,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041104,MIA,CLE
Shot Chart Detail,0020400018,75,2544,LeBron James,1610612739,Cleveland Cavaliers,1,2,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041104,MIA,CLE
Shot Chart Detail,0020400018,88,2544,LeBron James,1610612739,Cleveland Cavaliers,1,1,27,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,220,-6,1,1,20041104,MIA,CLE
Shot Chart Detail,0020400018,165,2544,LeBron James,1610612739,Cleveland Cavaliers,2,6,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-166,206,1,1,20041104,MIA,CLE
Shot Chart Detail,0020400018,398,2544,LeBron James,1610612739,Cleveland Cavaliers,4,10,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041104,MIA,CLE
Shot Chart Detail,0020400018,427,2544,LeBron James,1610612739,Cleveland Cavaliers,4,7,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041104,MIA,CLE
Shot Chart Detail,0020400018,486,2544,LeBron James,1610612739,Cleveland Cavaliers,4,2,22,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,59,7,1,1,20041104,MIA,CLE
Shot Chart Detail,0020400018,507,2544,LeBron James,1610612739,Cleveland Cavaliers,4,0,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,176,194,1,1,20041104,MIA,CLE
Shot Chart Detail,0020400037,13,2544,LeBron James,1610612739,Cleveland Cavaliers,1,10,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041106,MIL,CLE
Shot Chart Detail,0020400037,97,2544,LeBron James,1610612739,Cleveland Cavaliers,1,1,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041106,MIL,CLE
Shot Chart Detail,0020400037,136,2544,LeBron James,1610612739,Cleveland Cavaliers,2,10,14,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041106,MIL,CLE
Shot Chart Detail,0020400037,194,2544,LeBron James,1610612739,Cleveland Cavaliers,2,5,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041106,MIL,CLE
Shot Chart Detail,0020400037,253,2544,LeBron James,1610612739,Cleveland Cavaliers,2,0,45,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041106,MIL,CLE
Shot Chart Detail,0020400037,335,2544,LeBron James,1610612739,Cleveland Cavaliers,3,3,41,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041106,MIL,CLE
Shot Chart Detail,0020400037,352,2544,LeBron James,1610612739,Cleveland Cavaliers,3,2,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041106,MIL,CLE
Shot Chart Detail,0020400037,358,2544,LeBron James,1610612739,Cleveland Cavaliers,3,2,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,199,-1,1,1,20041106,MIL,CLE
Shot Chart Detail,0020400051,36,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041109,ATL,CLE
Shot Chart Detail,0020400051,123,2544,LeBron James,1610612739,Cleveland Cavaliers,1,0,42,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20041109,ATL,CLE
