"Player","Team(s)","GP","Win%","name"
"J.R. Smith","Cavaliers, Knicks",371,"62.8%","Iman Shumpert"
"Tristan Thompson","Cavaliers",229,"70.3%","Iman Shumpert"
"LeBron James","Cavaliers",224,"73.7%","Iman Shumpert"
"Kyrie Irving","Cavaliers, Nets",201,"73.1%","Iman Shumpert"
"Kevin Love","Cavaliers",192,"72.9%","Iman Shumpert"
"Carmelo Anthony","Knicks",188,"51.6%","Iman Shumpert"
"Richard Jefferson","Cavaliers",153,"68.0%","Iman Shumpert"
"Amar'e Stoudemire","Knicks",151,"43.0%","Iman Shumpert"
"Tyson Chandler","Knicks",144,"54.9%","Iman Shumpert"
"James Jones","Cavaliers",138,"69.6%","Iman Shumpert"
"Pablo Prigioni","Knicks",133,"49.6%","Iman Shumpert"
"Channing Frye","Cavaliers",129,"65.1%","Iman Shumpert"
"Matt Dellavedova","Cavaliers",127,"74.8%","Iman Shumpert"
"Timofey Mozgov","Cavaliers",123,"74.0%","Iman Shumpert"
"Raymond Felton","Knicks",109,"57.8%","Iman Shumpert"
"Steve Novak","Knicks",102,"62.7%","Iman Shumpert"
"Tim Hardaway Jr.","Knicks",97,"41.2%","Iman Shumpert"
"Kyle Korver","Cavaliers",62,"58.1%","Iman Shumpert"
"Kenyon Martin","Knicks",61,"52.5%","Iman Shumpert"
"Landry Fields","Knicks",60,"56.7%","Iman Shumpert"
"Cole Aldrich","Knicks",56,"50.0%","Iman Shumpert"
"Jason Kidd","Knicks",55,"61.8%","Iman Shumpert"
"DeAndre Liggins","Cavaliers",55,"65.5%","Iman Shumpert"
"Jordan McRae","Cavaliers",49,"71.4%","Iman Shumpert"
"Toure' Murry","Knicks",46,"54.3%","Iman Shumpert"
"Buddy Hield","Kings",42,"57.1%","Iman Shumpert"
"De'Aaron Fox","Kings",42,"57.1%","Iman Shumpert"
"Willie Cauley-Stein","Kings",42,"57.1%","Iman Shumpert"
"Andrea Bargnani","Knicks",42,"35.7%","Iman Shumpert"
"Nemanja Bjelica","Kings",42,"57.1%","Iman Shumpert"
"Justin Jackson","Kings",41,"58.5%","Iman Shumpert"
"Chris Copeland","Knicks",40,"67.5%","Iman Shumpert"
"Deron Williams","Cavaliers",39,"56.4%","Iman Shumpert"
"Kay Felder","Cavaliers",38,"60.5%","Iman Shumpert"
"Joe Harris","Cavaliers, Nets",37,"75.7%","Iman Shumpert"
"Jared Jeffries","Knicks",37,"56.8%","Iman Shumpert"
"Mike Bibby","Knicks",36,"63.9%","Iman Shumpert"
"Mo Williams","Cavaliers",35,"71.4%","Iman Shumpert"
"James White","Knicks",35,"80.0%","Iman Shumpert"
"Toney Douglas","Knicks",34,"55.9%","Iman Shumpert"
"Josh Harrellson","Knicks",34,"50.0%","Iman Shumpert"
"Jeremy Tyler","Knicks",34,"55.9%","Iman Shumpert"
"Bogdan Bogdanovic","Kings",33,"57.6%","Iman Shumpert"
"Marvin Bagley III","Kings",33,"57.6%","Iman Shumpert"
"Yogi Ferrell","Kings",33,"57.6%","Iman Shumpert"
"Harry Giles","Kings",32,"53.1%","Iman Shumpert"
"Beno Udrih","Knicks",31,"38.7%","Iman Shumpert"
"James Harden","Rockets, Nets",30,"66.7%","Iman Shumpert"
"Jeremy Lin","Knicks",29,"62.1%","Iman Shumpert"
"Derrick Williams","Cavaliers",29,"55.2%","Iman Shumpert"
"Mike Miller","Cavaliers",29,"72.4%","Iman Shumpert"
"P.J. Tucker","Rockets",28,"67.9%","Iman Shumpert"
"Henry Walker","Knicks",28,"53.6%","Iman Shumpert"
"Eric Gordon","Rockets",27,"70.4%","Iman Shumpert"
"Chris Paul","Rockets",27,"66.7%","Iman Shumpert"
"Baron Davis","Knicks",27,"55.6%","Iman Shumpert"
"Metta World Peace","Knicks",26,"34.6%","Iman Shumpert"
"Dahntay Jones","Cavaliers",26,"73.1%","Iman Shumpert"
"Clint Capela","Rockets",25,"72.0%","Iman Shumpert"
"Frank Mason","Kings",25,"48.0%","Iman Shumpert"
"Austin Rivers","Rockets",24,"70.8%","Iman Shumpert"
"Jason Smith","Knicks",24,"16.7%","Iman Shumpert"
"Samuel Dalembert","Knicks",24,"16.7%","Iman Shumpert"
"Kendrick Perkins","Cavaliers",24,"79.2%","Iman Shumpert"
"Gerald Green","Rockets",23,"65.2%","Iman Shumpert"
"Shawn Marion","Cavaliers",23,"78.3%","Iman Shumpert"
"Mike Dunleavy","Cavaliers",22,"81.8%","Iman Shumpert"
"Shane Larkin","Knicks",21,"14.3%","Iman Shumpert"
"Quincy Acy","Knicks",21,"19.0%","Iman Shumpert"
"Kosta Koufos","Kings",21,"61.9%","Iman Shumpert"
"Jared Cunningham","Cavaliers",21,"85.7%","Iman Shumpert"
"Jose Calderon","Cavaliers, Knicks",18,"27.8%","Iman Shumpert"
"Travis Wear","Knicks",17,"11.8%","Iman Shumpert"
"Jerome Jordan","Knicks",17,"76.5%","Iman Shumpert"
"Shannon Brown","Knicks",16,"75.0%","Iman Shumpert"
"Jeff Green","Cavaliers, Nets",15,"60.0%","Iman Shumpert"
"Kenneth Faried","Rockets",15,"73.3%","Iman Shumpert"
