,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2003-10-29,@,SAC,L,92,106,,40,86,.465,6,11,.545,34,75,.453,.500,6,9,.667,10,29,39,24,6,9,14,25,44,87,.506,2,9,.222,42,78,.538,.517,16,20,.800,13,28,41,27,7,8,10,11
2,2,2003-10-30,@,PHO,L,86,95,,37,86,.430,5,20,.250,32,66,.485,.459,7,12,.583,10,41,51,25,6,6,22,24,33,80,.413,2,10,.200,31,70,.443,.425,27,38,.711,11,32,43,16,8,7,13,15
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
3,3,2003-11-01,@,POR,L,85,104,,35,73,.479,2,11,.182,33,62,.532,.493,13,17,.765,8,29,37,23,5,3,22,24,38,77,.494,6,15,.400,32,62,.516,.532,22,29,.759,8,30,38,27,7,3,12,22
4,4,2003-11-05,,DEN,L,89,93,,33,87,.379,2,9,.222,31,78,.397,.391,21,31,.677,19,37,56,19,10,7,16,19,38,88,.432,7,19,.368,31,69,.449,.472,10,18,.556,13,29,42,17,10,7,16,24
5,5,2003-11-07,@,IND,L,90,91,,36,81,.444,3,6,.500,33,75,.440,.463,15,20,.750,12,34,46,25,3,7,10,21,33,78,.423,6,18,.333,27,60,.450,.462,19,25,.760,10,31,41,23,8,7,7,20
6,6,2003-11-08,,WAS,W,111,98,,44,84,.524,2,8,.250,42,76,.553,.536,21,31,.677,11,31,42,30,4,11,11,17,40,89,.449,4,16,.250,36,73,.493,.472,14,21,.667,13,25,38,22,5,5,12,23
7,7,2003-11-10,,NYK,W,94,80,,36,81,.444,5,9,.556,31,72,.431,.475,17,19,.895,12,37,49,29,10,5,14,12,31,77,.403,7,16,.438,24,61,.393,.448,11,12,.917,5,29,34,21,7,3,13,16
8,8,2003-11-12,@,MIA,L,83,88,,32,71,.451,2,8,.250,30,63,.476,.465,17,30,.567,11,31,42,21,9,7,17,17,35,77,.455,5,13,.385,30,64,.469,.487,13,17,.765,9,31,40,21,10,3,16,20
9,9,2003-11-14,@,BOS,L,82,91,,27,77,.351,2,7,.286,25,70,.357,.364,26,36,.722,17,33,50,16,3,7,13,26,32,78,.410,4,10,.400,28,68,.412,.436,23,30,.767,13,30,43,19,6,6,8,28
