,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-19,,GSW,L,114,121,,45,95,.474,15,42,.357,30,53,.566,.553,9,19,.474,5,40,45,21,7,4,18,25,41,93,.441,14,39,.359,27,54,.500,.516,25,30,.833,9,41,50,30,9,2,17,18
2,2,2021-10-22,,PHO,L,105,115,,34,86,.395,15,34,.441,19,52,.365,.483,22,29,.759,12,34,46,25,7,3,16,26,42,86,.488,10,32,.313,32,54,.593,.547,21,28,.750,7,40,47,31,8,2,12,22
3,3,2021-10-24,,MEM,W,121,118,,45,84,.536,16,30,.533,29,54,.537,.631,15,22,.682,9,27,36,29,10,12,17,14,45,100,.450,13,35,.371,32,65,.492,.515,15,18,.833,18,31,49,25,13,4,17,20
4,4,2021-10-26,@,SAS,W,125,121,OT,50,105,.476,8,30,.267,42,75,.560,.514,17,22,.773,9,47,56,20,8,10,13,21,48,108,.444,13,36,.361,35,72,.486,.505,12,22,.545,16,43,59,33,10,6,16,22
5,5,2021-10-27,@,OKC,L,115,123,,46,92,.500,11,35,.314,35,57,.614,.560,12,14,.857,10,30,40,29,8,2,17,22,43,86,.500,15,37,.405,28,49,.571,.587,22,29,.759,10,32,42,21,8,3,16,16
6,6,2021-10-29,,CLE,W,113,101,,46,84,.548,12,27,.444,34,57,.596,.619,9,10,.900,11,31,42,24,9,6,22,20,37,87,.425,12,34,.353,25,53,.472,.494,15,22,.682,16,20,36,28,10,1,15,13
7,7,2021-10-31,,HOU,W,95,85,,39,96,.406,9,31,.290,30,65,.462,.453,8,13,.615,10,33,43,22,15,9,14,20,32,76,.421,6,28,.214,26,48,.542,.461,15,29,.517,10,45,55,18,8,3,27,18
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
8,8,2021-11-02,,HOU,W,119,117,,49,93,.527,6,25,.240,43,68,.632,.559,15,20,.750,11,32,43,26,10,4,17,19,48,91,.527,16,42,.381,32,49,.653,.615,5,12,.417,11,27,38,27,8,4,25,21
