,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2010-10-26,@,BOS,L,80,88,,27,74,.365,8,20,.400,19,54,.352,.419,18,25,.720,11,28,39,15,10,6,17,21,32,69,.464,8,16,.500,24,53,.453,.522,16,25,.640,8,34,42,25,6,4,20,19
2,2,2010-10-27,@,PHI,W,97,87,,33,69,.478,8,16,.500,25,53,.472,.536,23,31,.742,5,32,37,15,8,6,16,18,36,83,.434,7,18,.389,29,65,.446,.476,8,11,.727,10,28,38,24,10,4,19,22
3,3,2010-10-29,,ORL,W,96,70,,33,81,.407,9,18,.500,24,63,.381,.463,21,27,.778,14,37,51,17,6,5,12,27,21,69,.304,4,24,.167,17,45,.378,.333,24,34,.706,8,32,40,5,5,3,16,20
4,4,2010-10-31,@,NJN,W,101,78,,36,67,.537,5,16,.313,31,51,.608,.575,24,34,.706,5,35,40,29,10,6,8,21,30,85,.353,3,14,.214,27,71,.380,.371,15,23,.652,19,24,43,16,5,0,15,19
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
5,5,2010-11-02,,MIN,W,129,97,,46,79,.582,12,21,.571,34,58,.586,.658,25,31,.806,8,39,47,31,9,7,16,27,31,84,.369,6,18,.333,25,66,.379,.405,29,38,.763,13,27,40,14,10,2,18,23
6,6,2010-11-05,@,NOH,L,93,96,,33,78,.423,5,21,.238,28,57,.491,.455,22,24,.917,8,28,36,19,6,5,13,17,39,79,.494,4,14,.286,35,65,.538,.519,14,17,.824,10,32,42,26,9,1,14,22
7,7,2010-11-06,,NJN,W,101,89,,36,74,.486,6,15,.400,30,59,.508,.527,23,29,.793,6,38,44,19,7,7,13,16,35,85,.412,8,20,.400,27,65,.415,.459,11,17,.647,11,30,41,17,5,3,14,21
8,8,2010-11-09,,UTA,L,114,116,OT,36,82,.439,6,15,.400,30,67,.448,.476,36,47,.766,10,36,46,21,3,7,12,20,45,93,.484,8,19,.421,37,74,.500,.527,18,21,.857,10,34,44,30,6,5,12,32
9,9,2010-11-11,,BOS,L,107,112,,36,72,.500,3,16,.188,33,56,.589,.521,32,41,.780,11,26,37,18,4,4,14,22,43,79,.544,9,16,.563,34,63,.540,.601,17,25,.680,9,26,35,24,5,0,12,30
10,10,2010-11-13,,TOR,W,109,100,,40,79,.506,3,10,.300,37,69,.536,.525,26,36,.722,11,27,38,18,5,2,9,22,37,82,.451,5,19,.263,32,63,.508,.482,21,29,.724,13,31,44,17,5,4,11,29
11,11,2010-11-17,,PHO,W,123,96,,47,86,.547,7,19,.368,40,67,.597,.587,22,25,.880,9,33,42,29,9,3,11,27,32,72,.444,5,19,.263,27,53,.509,.479,27,37,.730,6,26,32,19,4,4,17,22
12,12,2010-11-19,,CHA,W,95,87,,34,80,.425,5,17,.294,29,63,.460,.456,22,27,.815,10,34,44,14,6,3,12,18,33,71,.465,4,17,.235,29,54,.537,.493,17,22,.773,2,36,38,21,8,1,15,23
13,13,2010-11-20,@,MEM,L,95,97,,38,79,.481,10,22,.455,28,57,.491,.544,9,12,.750,6,26,32,20,6,1,8,22,38,80,.475,1,11,.091,37,69,.536,.481,20,27,.741,14,33,47,17,2,5,12,15
14,14,2010-11-22,,IND,L,77,93,,24,62,.387,4,20,.200,20,42,.476,.419,25,38,.658,6,33,39,16,4,10,22,19,37,90,.411,8,23,.348,29,67,.433,.456,11,13,.846,12,36,48,26,9,2,13,27
