"Player","Team(s)","GP","Win%","name"
"Kyrie Irving","Cavaliers",425,"55.5%","Tristan Thompson"
"Kevin Love","Cavaliers",364,"60.2%","Tristan Thompson"
"LeBron James","Cavaliers, Lakers",353,"67.4%","Tristan Thompson"
"Matt Dellavedova","Cavaliers",311,"55.6%","Tristan Thompson"
"J.R. Smith","Cavaliers",298,"63.8%","Tristan Thompson"
"Iman Shumpert","Cavaliers",229,"70.3%","Tristan Thompson"
"Alonzo Gee","Cavaliers",204,"34.3%","Tristan Thompson"
"James Jones","Cavaliers",191,"64.9%","Tristan Thompson"
"Richard Jefferson","Cavaliers",184,"67.9%","Tristan Thompson"
"Anderson Varejao","Cavaliers",166,"45.2%","Tristan Thompson"
"Dion Waiters","Cavaliers",164,"40.2%","Tristan Thompson"
"Channing Frye","Cavaliers",164,"56.7%","Tristan Thompson"
"Timofey Mozgov","Cavaliers",155,"71.0%","Tristan Thompson"
"Cedi Osman","Cavaliers",154,"33.1%","Tristan Thompson"
"Tyler Zeller","Cavaliers",147,"34.7%","Tristan Thompson"
"Kyle Korver","Cavaliers",130,"49.2%","Tristan Thompson"
"Darius Garland","Cavaliers",127,"48.0%","Tristan Thompson"
"Larry Nance, Jr.","Cavaliers",122,"35.2%","Tristan Thompson"
"C.J. Miles","Cavaliers",116,"34.5%","Tristan Thompson"
"Jordan Clarkson","Cavaliers",106,"35.8%","Tristan Thompson"
"Omri Casspi","Cavaliers",102,"27.5%","Tristan Thompson"
"Collin Sexton","Cavaliers",100,"27.0%","Tristan Thompson"
"Jarrett Allen","Cavaliers",88,"65.9%","Tristan Thompson"
"Georges Niang","Cavaliers",82,"61.0%","Tristan Thompson"
"Jarrett Jack","Cavaliers",80,"40.0%","Tristan Thompson"
"Sam Merrill","Cavaliers",80,"62.5%","Tristan Thompson"
"Max Strus","Cavaliers",78,"61.5%","Tristan Thompson"
"Daniel Gibson","Cavaliers",78,"29.5%","Tristan Thompson"
"Donovan Mitchell","Cavaliers",77,"67.5%","Tristan Thompson"
"Dean Wade","Cavaliers",74,"60.8%","Tristan Thompson"
"Luke Walton","Cavaliers",71,"26.8%","Tristan Thompson"
"Ante Zizic","Cavaliers",70,"28.6%","Tristan Thompson"
"Jeff Green","Cavaliers",69,"50.7%","Tristan Thompson"
"Isaac Okoro","Cavaliers",68,"60.3%","Tristan Thompson"
"Samardo Samuels","Cavaliers",67,"23.9%","Tristan Thompson"
"Evan Mobley","Cavaliers",65,"64.6%","Tristan Thompson"
"Craig Porter, Jr.","Cavaliers",65,"70.8%","Tristan Thompson"
"Caris LeVert","Cavaliers",63,"58.7%","Tristan Thompson"
"Shawn Marion","Cavaliers",63,"65.1%","Tristan Thompson"
"Rodney Hood","Cavaliers",62,"35.5%","Tristan Thompson"
"Joe Harris","Cavaliers",62,"66.1%","Tristan Thompson"
"Mike Miller","Cavaliers",61,"59.0%","Tristan Thompson"
"Antawn Jamison","Cavaliers",59,"28.8%","Tristan Thompson"
"Javonte Green","Celtics, Bulls, Cavaliers",59,"44.1%","Tristan Thompson"
"DeAndre Liggins","Cavaliers",59,"64.4%","Tristan Thompson"
"Jayson Tatum","Celtics",54,"50.0%","Tristan Thompson"
"Payton Pritchard","Celtics",54,"48.1%","Tristan Thompson"
"Mo Williams","Cavaliers",54,"68.5%","Tristan Thompson"
"Jordan McRae","Cavaliers",54,"70.4%","Tristan Thompson"
"Grant Williams","Celtics",52,"46.2%","Tristan Thompson"
"Anthony Bennett","Cavaliers",52,"38.5%","Tristan Thompson"
"Shaun Livingston","Cavaliers",49,"34.7%","Tristan Thompson"
"Anthony Parker","Cavaliers",49,"28.6%","Tristan Thompson"
"Semi Ojeleye","Celtics",48,"50.0%","Tristan Thompson"
"Jose Calderon","Cavaliers",48,"39.6%","Tristan Thompson"
"George Hill","Cavaliers",45,"44.4%","Tristan Thompson"
"Donald Sloan","Cavaliers",45,"17.8%","Tristan Thompson"
"Earl Clark","Cavaliers",45,"35.6%","Tristan Thompson"
"Jaylen Brown","Celtics",44,"52.3%","Tristan Thompson"
"Damian Jones","Cavaliers, Kings",44,"50.0%","Tristan Thompson"
"Kevin Porter, Jr.","Cavaliers",43,"34.9%","Tristan Thompson"
"Robert Williams","Celtics",42,"57.1%","Tristan Thompson"
