"Player","Team(s)","GP","Win%","name"
"LeBron James","Cavaliers, Heat",641,"62.7%","Zydrunas Ilgauskus"
"Anderson Varejao","Cavaliers",399,"64.9%","Zydrunas Ilgauskus"
"Sasha Pavlovic","Cavaliers",317,"61.8%","Zydrunas Ilgauskus"
"Drew Gooden","Cavaliers",313,"58.1%","Zydrunas Ilgauskus"
"Eric Snow","Cavaliers",287,"57.1%","Zydrunas Ilgauskus"
"Daniel Gibson","Cavaliers",272,"67.3%","Zydrunas Ilgauskus"
"Ira Newble","Cavaliers",236,"53.0%","Zydrunas Ilgauskus"
"Damon Jones","Cavaliers",224,"58.0%","Zydrunas Ilgauskus"
"Donyell Marshall","Cavaliers",197,"59.9%","Zydrunas Ilgauskus"
"DeSagana Diop","Cavaliers",187,"31.6%","Zydrunas Ilgauskus"
"Larry Hughes","Cavaliers",165,"61.8%","Zydrunas Ilgauskus"
"Wesley Person","Cavaliers",163,"49.1%","Zydrunas Ilgauskus"
"Ricky Davis","Cavaliers",162,"27.8%","Zydrunas Ilgauskus"
"Carlos Boozer","Cavaliers",154,"32.5%","Zydrunas Ilgauskus"
"Delonte West","Cavaliers",149,"71.8%","Zydrunas Ilgauskus"
"Chris Mihm","Cavaliers",142,"31.7%","Zydrunas Ilgauskus"
"Jumaine Jones","Cavaliers",140,"27.1%","Zydrunas Ilgauskus"
"Mo Williams","Cavaliers",137,"76.6%","Zydrunas Ilgauskus"
"J.J. Hickson","Cavaliers",117,"76.1%","Zydrunas Ilgauskus"
"Cedric Henderson","Cavaliers",112,"56.3%","Zydrunas Ilgauskus"
"Jeff McInnis","Cavaliers",103,"55.3%","Zydrunas Ilgauskus"
"Darius Miles","Cavaliers",102,"24.5%","Zydrunas Ilgauskus"
"Dajuan Wagner","Cavaliers",101,"35.6%","Zydrunas Ilgauskus"
"Wally Szczerbiak","Cavaliers",98,"74.5%","Zydrunas Ilgauskus"
"Robert Traylor","Cavaliers",93,"54.8%","Zydrunas Ilgauskus"
"Brevin Knight","Cavaliers",91,"53.8%","Zydrunas Ilgauskus"
"Shawn Kemp","Cavaliers",89,"56.2%","Zydrunas Ilgauskus"
"Vitaly Potapenko","Cavaliers",89,"56.2%","Zydrunas Ilgauskus"
"Andre Miller","Cavaliers",85,"44.7%","Zydrunas Ilgauskus"
"Ben Wallace","Cavaliers",83,"72.3%","Zydrunas Ilgauskus"
"Kevin Ollie","Cavaliers",81,"42.0%","Zydrunas Ilgauskus"
"James Jones","Heat",80,"71.3%","Zydrunas Ilgauskus"
"Milt Palacio","Cavaliers",79,"21.5%","Zydrunas Ilgauskus"
"Lamond Murray","Cavaliers",77,"46.8%","Zydrunas Ilgauskus"
"Devin Brown","Cavaliers",77,"58.4%","Zydrunas Ilgauskus"
"Danny Ferry","Cavaliers",77,"53.2%","Zydrunas Ilgauskus"
"Chris Bosh","Heat",76,"72.4%","Zydrunas Ilgauskus"
"Dwyane Wade","Heat",75,"72.0%","Zydrunas Ilgauskus"
"Derek Anderson","Cavaliers",75,"57.3%","Zydrunas Ilgauskus"
"Joel Anthony","Heat",74,"74.3%","Zydrunas Ilgauskus"
"Mario Chalmers","Heat",71,"76.1%","Zydrunas Ilgauskus"
"Lucious Harris","Cavaliers",71,"52.1%","Zydrunas Ilgauskus"
"Anthony Parker","Cavaliers",70,"72.9%","Zydrunas Ilgauskus"
"Joe Smith","Cavaliers",65,"69.2%","Zydrunas Ilgauskus"
"Smush Parker","Cavaliers",65,"23.1%","Zydrunas Ilgauskus"
"Darnell Jackson","Cavaliers",64,"89.1%","Zydrunas Ilgauskus"
"Bimbo Coles","Cavaliers",59,"28.8%","Zydrunas Ilgauskus"
"Dwayne Jones","Cavaliers",57,"59.6%","Zydrunas Ilgauskus"
"Tyrone Hill","Cavaliers",56,"32.1%","Zydrunas Ilgauskus"
"Shaquille O'Neal","Cavaliers",54,"75.9%","Zydrunas Ilgauskus"
"Bob Sura","Cavaliers",54,"51.9%","Zydrunas Ilgauskus"
"Jamario Moon","Cavaliers",54,"74.1%","Zydrunas Ilgauskus"
"Juwan Howard","Heat",54,"74.1%","Zydrunas Ilgauskus"
"Michael Stewart","Cavaliers",54,"22.2%","Zydrunas Ilgauskus"
"Eddie House","Heat",52,"69.2%","Zydrunas Ilgauskus"
"Trajan Langdon","Cavaliers",50,"42.0%","Zydrunas Ilgauskus"
"Eric Williams","Cavaliers",49,"51.0%","Zydrunas Ilgauskus"
"Tony Battie","Cavaliers",49,"49.0%","Zydrunas Ilgauskus"
"Alan Henderson","Cavaliers",49,"59.2%","Zydrunas Ilgauskus"
"Carlos Arroyo","Heat",48,"70.8%","Zydrunas Ilgauskus"
"Brian Skinner","Cavaliers",45,"33.3%","Zydrunas Ilgauskus"
"Luke Jackson","Cavaliers",44,"52.3%","Zydrunas Ilgauskus"
"Scott Brooks","Cavaliers",44,"52.3%","Zydrunas Ilgauskus"
"Tarence Kinsey","Cavaliers",44,"86.4%","Zydrunas Ilgauskus"
"Bryant Stith","Cavaliers",43,"30.2%","Zydrunas Ilgauskus"
"Jawad Williams","Cavaliers",42,"76.2%","Zydrunas Ilgauskus"
"Shawnelle Scott","Cavaliers",42,"52.4%","Zydrunas Ilgauskus"
"Erick Dampier","Heat",41,"70.7%","Zydrunas Ilgauskus"
"Jason Kapono","Cavaliers",40,"37.5%","Zydrunas Ilgauskus"
"Mike Miller","Heat",39,"66.7%","Zydrunas Ilgauskus"
"Shannon Brown","Cavaliers",39,"48.7%","Zydrunas Ilgauskus"
"Flip Murray","Cavaliers",38,"60.5%","Zydrunas Ilgauskus"
"Mike Wilks","Cavaliers",35,"45.7%","Zydrunas Ilgauskus"
