"Player","Team(s)","GP","Win%"
"LeBron James","Cavaliers, Heat",641,"62.7%"
"Anderson Varejao","Cavaliers",399,"64.9%"
"Sasha Pavlovic","Cavaliers",317,"61.8%"
"Drew Gooden","Cavaliers",313,"58.1%"
"Eric Snow","Cavaliers",287,"57.1%"
"Daniel Gibson","Cavaliers",272,"67.3%"
"Ira Newble","Cavaliers",236,"53.0%"
"Damon Jones","Cavaliers",224,"58.0%"
"Donyell Marshall","Cavaliers",197,"59.9%"
"DeSagana Diop","Cavaliers",187,"31.6%"
"Larry Hughes","Cavaliers",165,"61.8%"
"Wesley Person","Cavaliers",163,"49.1%"
"Ricky Davis","Cavaliers",162,"27.8%"
"Carlos Boozer","Cavaliers",154,"32.5%"
"Delonte West","Cavaliers",149,"71.8%"
"Chris Mihm","Cavaliers",142,"31.7%"
"Jumaine Jones","Cavaliers",140,"27.1%"
"Mo Williams","Cavaliers",137,"76.6%"
"J.J. Hickson","Cavaliers",117,"76.1%"
"Cedric Henderson","Cavaliers",112,"56.3%"
"Jeff McInnis","Cavaliers",103,"55.3%"
"Darius Miles","Cavaliers",102,"24.5%"
"Dajuan Wagner","Cavaliers",101,"35.6%"
"Wally Szczerbiak","Cavaliers",98,"74.5%"
"Robert Traylor","Cavaliers",93,"54.8%"
"Brevin Knight","Cavaliers",91,"53.8%"
"Shawn Kemp","Cavaliers",89,"56.2%"
"Vitaly Potapenko","Cavaliers",89,"56.2%"
"Andre Miller","Cavaliers",85,"44.7%"
"Ben Wallace","Cavaliers",83,"72.3%"
"Kevin Ollie","Cavaliers",81,"42.0%"
"James Jones","Heat",80,"71.3%"
"Milt Palacio","Cavaliers",79,"21.5%"
"Lamond Murray","Cavaliers",77,"46.8%"
"Devin Brown","Cavaliers",77,"58.4%"
"Danny Ferry","Cavaliers",77,"53.2%"
"Chris Bosh","Heat",76,"72.4%"
"Dwyane Wade","Heat",75,"72.0%"
"Derek Anderson","Cavaliers",75,"57.3%"
"Joel Anthony","Heat",74,"74.3%"
"Mario Chalmers","Heat",71,"76.1%"
"Lucious Harris","Cavaliers",71,"52.1%"
"Anthony Parker","Cavaliers",70,"72.9%"
"Joe Smith","Cavaliers",65,"69.2%"
"Smush Parker","Cavaliers",65,"23.1%"
"Darnell Jackson","Cavaliers",64,"89.1%"
"Bimbo Coles","Cavaliers",59,"28.8%"
"Dwayne Jones","Cavaliers",57,"59.6%"
"Tyrone Hill","Cavaliers",56,"32.1%"
"Shaquille O'Neal","Cavaliers",54,"75.9%"
"Bob Sura","Cavaliers",54,"51.9%"
"Jamario Moon","Cavaliers",54,"74.1%"
"Juwan Howard","Heat",54,"74.1%"
"Michael Stewart","Cavaliers",54,"22.2%"
"Eddie House","Heat",52,"69.2%"
"Trajan Langdon","Cavaliers",50,"42.0%"
"Eric Williams","Cavaliers",49,"51.0%"
"Tony Battie","Cavaliers",49,"49.0%"
"Alan Henderson","Cavaliers",49,"59.2%"
"Carlos Arroyo","Heat",48,"70.8%"
"Brian Skinner","Cavaliers",45,"33.3%"
"Luke Jackson","Cavaliers",44,"52.3%"
"Scott Brooks","Cavaliers",44,"52.3%"
"Tarence Kinsey","Cavaliers",44,"86.4%"
"Bryant Stith","Cavaliers",43,"30.2%"
"Jawad Williams","Cavaliers",42,"76.2%"
"Shawnelle Scott","Cavaliers",42,"52.4%"
"Erick Dampier","Heat",41,"70.7%"
"Jason Kapono","Cavaliers",40,"37.5%"
"Mike Miller","Heat",39,"66.7%"
"Shannon Brown","Cavaliers",39,"48.7%"
"Flip Murray","Cavaliers",38,"60.5%"
"Mike Wilks","Cavaliers",35,"45.7%"
"Kedrick Brown","Cavaliers",33,"36.4%"
"David Wesley","Cavaliers",33,"60.6%"
"J.R. Bremer","Cavaliers",31,"25.8%"
"Carl Thomas","Cavaliers",30,"50.0%"
"Henry James","Cavaliers",28,"57.1%"
"Michael Doleac","Cavaliers",27,"40.7%"
"Matt Harpring","Cavaliers",24,"62.5%"
"Clarence Weatherspoon","Cavaliers",24,"62.5%"
"Mike Bibby","Heat",24,"66.7%"
"Scot Pollard","Cavaliers",23,"43.5%"
"Lee Nailon","Cavaliers",22,"50.0%"
"Chris Gatling","Cavaliers",21,"66.7%"
"Mitchell Butler","Cavaliers",19,"63.2%"
"Scott Williams","Cavaliers",19,"52.6%"
"Antawn Jamison","Cavaliers",17,"52.9%"
"Danny Green","Cavaliers",17,"70.6%"
"Jiri Welsch","Cavaliers",15,"33.3%"
"Udonis Haslem","Heat",14,"64.3%"
"Tierre Brown","Cavaliers",14,"28.6%"
"Stephen Graham","Cavaliers",13,"46.2%"
"Jamaal Magloire","Heat",11,"72.7%"
"Leon Powe","Cavaliers",10,"40.0%"
"Zendon Hamilton","Cavaliers",10,"70.0%"
"Lorenzen Wright","Cavaliers",10,"90.0%"
"Michael Hawkins","Cavaliers",9,"55.6%"
"Tony Dumas","Cavaliers",7,"57.1%"
"Jerry Stackhouse","Heat",7,"71.4%"
"Cedric Simmons","Cavaliers",7,"57.1%"
"Greg Graham","Cavaliers",6,"83.3%"
"Billy Thomas","Cavaliers",6,"66.7%"
"Jeff Trepagnier","Cavaliers",6,"0.0%"
"Martynas Andriuskevicius","Cavaliers",6,"16.7%"
"Johnny Newman","Cavaliers",5,"40.0%"
"Cedric Jackson","Cavaliers",5,"100.0%"
"Sebastian Telfair","Cavaliers",4,"0.0%"
"Mateen Cleaves","Cavaliers",4,"0.0%"
"Bruno Sundov","Cavaliers",4,"0.0%"
"Jerome Moiso","Cavaliers",4,"75.0%"
"Trey Johnson","Cavaliers",4,"100.0%"
"Demetris Nichols","Cavaliers",3,"0.0%"
"J.R. Reid","Cavaliers",3,"33.3%"
"Kaniel Dickens","Cavaliers",3,"100.0%"
"Coby Karl","Cavaliers",3,"66.7%"
"Dexter Pittman","Heat",2,"100.0%"
"Lance Allred","Cavaliers",2,"0.0%"
"Jelani McCoy","Cavaliers",2,"0.0%"
"Litterial Green","Cavaliers",1,"0.0%"
